YEAR,INDEX,TEMP,MODEL,SERIES,USED
2020,4,1.65103531,HadGEM2_ES_2.6,2.6,Y
2021,4,1.03799343,HadGEM2_ES_2.6,2.6,Y
2022,4,1.46732998,HadGEM2_ES_2.6,2.6,Y
2023,4,2.0215435,HadGEM2_ES_2.6,2.6,Y
2024,4,1.91863441,HadGEM2_ES_2.6,2.6,Y
2025,4,1.6062212,HadGEM2_ES_2.6,2.6,Y
2026,4,1.4270668,HadGEM2_ES_2.6,2.6,Y
2027,4,1.09011269,HadGEM2_ES_2.6,2.6,Y
2028,4,1.27981377,HadGEM2_ES_2.6,2.6,Y
2029,4,1.93821239,HadGEM2_ES_2.6,2.6,Y
2030,4,1.38341904,HadGEM2_ES_2.6,2.6,Y
2031,4,-0.58560085,HadGEM2_ES_2.6,2.6,Y
2032,4,0.45056152,HadGEM2_ES_2.6,2.6,Y
2033,4,0.69234276,HadGEM2_ES_2.6,2.6,Y
2034,4,0.01681519,HadGEM2_ES_2.6,2.6,Y
2035,4,0.48713779,HadGEM2_ES_2.6,2.6,Y
2036,4,0.53769588,HadGEM2_ES_2.6,2.6,Y
2037,4,1.9795866,HadGEM2_ES_2.6,2.6,Y
2038,4,0.6675272,HadGEM2_ES_2.6,2.6,Y
2039,4,1.61676121,HadGEM2_ES_2.6,2.6,Y
2040,4,2.04766083,HadGEM2_ES_2.6,2.6,Y
2041,4,1.82061958,HadGEM2_ES_2.6,2.6,Y
2042,4,1.23211575,HadGEM2_ES_2.6,2.6,Y
2043,4,1.07038593,HadGEM2_ES_2.6,2.6,Y
2044,4,1.29245758,HadGEM2_ES_2.6,2.6,Y
2045,4,0.52830219,HadGEM2_ES_2.6,2.6,Y
2046,4,2.69262505,HadGEM2_ES_2.6,2.6,Y
2047,4,1.19053459,HadGEM2_ES_2.6,2.6,Y
2048,4,1.21706295,HadGEM2_ES_2.6,2.6,Y
2049,4,1.43446159,HadGEM2_ES_2.6,2.6,Y
2050,4,2.17103577,HadGEM2_ES_2.6,2.6,Y
2051,4,1.73320484,HadGEM2_ES_2.6,2.6,Y
2052,4,0.62994671,HadGEM2_ES_2.6,2.6,Y
2053,4,1.3565197,HadGEM2_ES_2.6,2.6,Y
2054,4,1.81293392,HadGEM2_ES_2.6,2.6,Y
2055,4,1.93698788,HadGEM2_ES_2.6,2.6,Y
2056,4,1.3369875,HadGEM2_ES_2.6,2.6,Y
2057,4,2.87499809,HadGEM2_ES_2.6,2.6,Y
2058,4,2.90978527,HadGEM2_ES_2.6,2.6,Y
2059,4,1.74033928,HadGEM2_ES_2.6,2.6,Y
2060,4,1.64415646,HadGEM2_ES_2.6,2.6,Y
2061,4,1.44387341,HadGEM2_ES_2.6,2.6,Y
2062,4,0.38566303,HadGEM2_ES_2.6,2.6,Y
2063,4,0.98534489,HadGEM2_ES_2.6,2.6,Y
2064,4,1.28388786,HadGEM2_ES_2.6,2.6,Y
2065,4,1.02622032,HadGEM2_ES_2.6,2.6,Y
2066,4,1.5772295,HadGEM2_ES_2.6,2.6,Y
2067,4,1.12709045,HadGEM2_ES_2.6,2.6,Y
2068,4,1.90333748,HadGEM2_ES_2.6,2.6,Y
2069,4,-0.12553024,HadGEM2_ES_2.6,2.6,Y
2070,4,1.61567211,HadGEM2_ES_2.6,2.6,Y
2071,4,2.18655777,HadGEM2_ES_2.6,2.6,Y
2072,4,1.53885841,HadGEM2_ES_2.6,2.6,Y
2073,4,2.15129375,HadGEM2_ES_2.6,2.6,Y
2074,4,1.14749908,HadGEM2_ES_2.6,2.6,Y
2075,4,1.03760242,HadGEM2_ES_2.6,2.6,Y
2076,4,1.09228516,HadGEM2_ES_2.6,2.6,Y
2077,4,0.73960495,HadGEM2_ES_2.6,2.6,Y
2078,4,1.19966793,HadGEM2_ES_2.6,2.6,Y
2079,4,0.50372219,HadGEM2_ES_2.6,2.6,Y
2080,4,0.94816589,HadGEM2_ES_2.6,2.6,Y
2081,4,1.91783047,HadGEM2_ES_2.6,2.6,Y
2082,4,1.12716961,HadGEM2_ES_2.6,2.6,Y
2083,4,1.58610535,HadGEM2_ES_2.6,2.6,Y
2084,4,0.9876461,HadGEM2_ES_2.6,2.6,Y
2085,4,1.34780121,HadGEM2_ES_2.6,2.6,Y
2086,4,1.47246742,HadGEM2_ES_2.6,2.6,Y
2087,4,1.28218746,HadGEM2_ES_2.6,2.6,Y
2088,4,0.92890167,HadGEM2_ES_2.6,2.6,Y
2089,4,1.82691002,HadGEM2_ES_2.6,2.6,Y
2090,4,2.3968544,HadGEM2_ES_2.6,2.6,Y
2091,4,2.715271,HadGEM2_ES_2.6,2.6,Y
2092,4,1.1858387,HadGEM2_ES_2.6,2.6,Y
2093,4,1.82698154,HadGEM2_ES_2.6,2.6,Y
2094,4,3.41597271,HadGEM2_ES_2.6,2.6,Y
2095,4,1.9386301,HadGEM2_ES_2.6,2.6,Y
2096,4,1.6717577,HadGEM2_ES_2.6,2.6,Y
2097,4,1.60743618,HadGEM2_ES_2.6,2.6,Y
2098,4,2.27233601,HadGEM2_ES_2.6,2.6,Y
2099,4,1.80054951,HadGEM2_ES_2.6,2.6,Y
2020,4,0.98738,MIROC_ESM_2.6,2.6,Y
2021,4,2.3163681,MIROC_ESM_2.6,2.6,Y
2022,4,-0.1255398,MIROC_ESM_2.6,2.6,Y
2023,4,1.4535551,MIROC_ESM_2.6,2.6,Y
2024,4,1.7615738,MIROC_ESM_2.6,2.6,Y
2025,4,0.9914827,MIROC_ESM_2.6,2.6,Y
2026,4,2.3673563,MIROC_ESM_2.6,2.6,Y
2027,4,0.3672104,MIROC_ESM_2.6,2.6,Y
2028,4,1.4961224,MIROC_ESM_2.6,2.6,Y
2029,4,1.7705164,MIROC_ESM_2.6,2.6,Y
2030,4,1.5819836,MIROC_ESM_2.6,2.6,Y
2031,4,1.8205881,MIROC_ESM_2.6,2.6,Y
2032,4,0.7471476,MIROC_ESM_2.6,2.6,Y
2033,4,2.8073997,MIROC_ESM_2.6,2.6,Y
2034,4,1.7005615,MIROC_ESM_2.6,2.6,Y
2035,4,2.6556082,MIROC_ESM_2.6,2.6,Y
2036,4,1.6944656,MIROC_ESM_2.6,2.6,Y
2037,4,1.0721722,MIROC_ESM_2.6,2.6,Y
2038,4,1.3290768,MIROC_ESM_2.6,2.6,Y
2039,4,0.8432074,MIROC_ESM_2.6,2.6,Y
2040,4,2.4602203,MIROC_ESM_2.6,2.6,Y
2041,4,1.0656786,MIROC_ESM_2.6,2.6,Y
2042,4,1.442976,MIROC_ESM_2.6,2.6,Y
2043,4,3.7730637,MIROC_ESM_2.6,2.6,Y
2044,4,2.4180164,MIROC_ESM_2.6,2.6,Y
2045,4,1.9439077,MIROC_ESM_2.6,2.6,Y
2046,4,2.1926079,MIROC_ESM_2.6,2.6,Y
2047,4,2.3568115,MIROC_ESM_2.6,2.6,Y
2048,4,1.4137955,MIROC_ESM_2.6,2.6,Y
2049,4,2.3251371,MIROC_ESM_2.6,2.6,Y
2050,4,2.034791,MIROC_ESM_2.6,2.6,Y
2051,4,2.0225983,MIROC_ESM_2.6,2.6,Y
2052,4,1.837471,MIROC_ESM_2.6,2.6,Y
2053,4,0.8536854,MIROC_ESM_2.6,2.6,Y
2054,4,1.2425861,MIROC_ESM_2.6,2.6,Y
2055,4,3.1880569,MIROC_ESM_2.6,2.6,Y
2056,4,0.7870455,MIROC_ESM_2.6,2.6,Y
2057,4,2.783226,MIROC_ESM_2.6,2.6,Y
2058,4,1.7055101,MIROC_ESM_2.6,2.6,Y
2059,4,2.7266264,MIROC_ESM_2.6,2.6,Y
2060,4,1.4096994,MIROC_ESM_2.6,2.6,Y
2061,4,1.1763468,MIROC_ESM_2.6,2.6,Y
2062,4,2.469346,MIROC_ESM_2.6,2.6,Y
2063,4,1.5426903,MIROC_ESM_2.6,2.6,Y
2064,4,2.2288313,MIROC_ESM_2.6,2.6,Y
2065,4,1.1106567,MIROC_ESM_2.6,2.6,Y
2066,4,1.5422277,MIROC_ESM_2.6,2.6,Y
2067,4,1.8900528,MIROC_ESM_2.6,2.6,Y
2068,4,2.2931519,MIROC_ESM_2.6,2.6,Y
2069,4,3.1393404,MIROC_ESM_2.6,2.6,Y
2070,4,1.0320597,MIROC_ESM_2.6,2.6,Y
2071,4,3.3744507,MIROC_ESM_2.6,2.6,Y
2072,4,1.5688772,MIROC_ESM_2.6,2.6,Y
2073,4,0.7240667,MIROC_ESM_2.6,2.6,Y
2074,4,2.0804634,MIROC_ESM_2.6,2.6,Y
2075,4,3.2756224,MIROC_ESM_2.6,2.6,Y
2076,4,2.8469152,MIROC_ESM_2.6,2.6,Y
2077,4,2.8614206,MIROC_ESM_2.6,2.6,Y
2078,4,2.1618958,MIROC_ESM_2.6,2.6,Y
2079,4,1.8769388,MIROC_ESM_2.6,2.6,Y
2080,4,2.2087545,MIROC_ESM_2.6,2.6,Y
2081,4,2.1253729,MIROC_ESM_2.6,2.6,Y
2082,4,2.0238657,MIROC_ESM_2.6,2.6,Y
2083,4,1.4646912,MIROC_ESM_2.6,2.6,Y
2084,4,2.2276573,MIROC_ESM_2.6,2.6,Y
