Prior,PriorSD,Parameter,Value,LLIKE,PerChange,CV
0,1.40976,M,1.39453,3547.552932,0.010803257,1
0,0.70488,M,1.350543066,3548.974452,0.042004976,0.5
0,0.35244,M,1.197071439,3553.857606,0.150868631,0.25
0,0.140976,M,0.656813877,3570.503238,0.534095253,0.1
0,0.00298978,K,0.00164772,3574.006476,0.944888253,0.1
0,0.00747445,K,0.00315895,3556.180051,0.894341724,0.25
0,0.0149489,K,0.000653141,3550.03961,0.978154212,0.5
0,0.0298978,K,-0.00808995,3548.041883,0.729413201,1
0,0.00476345,LMAX,0.00793729,3574.006476,0.833370981,0.1
0,0.011908625,LMAX,0.0200512,3556.180051,0.579061395,0.25
0,0.02381725,LMAX,0.0269564,3550.03961,0.434099235,0.5
0,0.0476345,LMAX,0.033941,3548.041883,0.287470216,1
0,0.180026,LMIN,0.73782,3574.006476,0.590159199,0.1
0,0.450065,LMIN,1.48636,3556.180051,0.174363703,0.25
0,0.90013,LMIN,1.70694,3550.03961,0.051836957,0.5
0,1.80026,LMIN,1.77452,3548.041883,0.014297935,1
0,0.0071625200,R0,-0.00578372,3547.461884,0.19250208,1
0,0.00358126,R0,-0.00368674,3548.084665,0.48527334,0.5
0,0.00179063,R0,-0.00151488,3548.737118,0.78849902,0.25
0,0.000716252,R0,-0.00029653,3549.10475,0.958599767,0.1
