Prior,PriorSD,Parameter,Value,LLIKE,,PerChange,CV
0,0.00298978,K,-0.000218597,3547.422124,0.363792817,0.992688531,0.1
0,0.00747445,K,-0.00131471,3547.408624,0.350292146,0.956026537,0.25
0,0.0149489,K,-0.004640075,3547.367672,0.309340515,0.844802126,0.5
0,0.0298978,K,-0.0126363,3547.269317,0.210985885,0.577350173,1
0,0.00476345,LMAX,0.00222972,3549.359334,2.301002125,0.95319,0.1
0,0.011908625,LMAX,0.0110982,3548.90153,1.84319846,0.76701,0.25
0,0.02381725,LMAX,0.0259183,3548.1424,1.084068655,0.45589,0.5
0,0.0476345,LMAX,0.0392793,3547.470407,0.412075898,0.17540,1
0,0.180026,LMIN,0.755918559,3568.622331,21.56399954,0.580105896,0.1
0,0.450065,LMIN,1.49950298,3553.492261,6.433929468,0.16706,0.25
0,0.90013,LMIN,1.709467315,3548.956969,1.898637114,0.05043,0.5
0,1.80026,LMIN,1.776392125,3547.551692,0.493360891,0.01326,1
0,0.140976,M,0.656813877,3570.503238,23.44490686,0.534095253,0.1
0,0.35244,M,1.197071439,3553.857606,6.799274319,0.150868631,0.25
0,0.70488,M,1.350543066,3548.974452,1.916120648,0.042004976,0.5
0,1.40976,M,1.39453,3547.552932,0.494600255,0.010803257,1
0,0.000716252,R0,-0.00029653,3549.10475,2.046418542,0.958599767,0.1
0,0.00179063,R0,-0.00151488,3548.737118,1.67878643,0.78849902,0.25
0,0.00358126,R0,-0.00368674,3548.084665,1.026333525,0.48527334,0.5
0,0.0071625200,R0,-0.00578372,3547.461884,0.403552476,0.19250208,1
