"","Label","P0275","P50","P975"
"1","Objective_function","3602.254475","3618.92","3641.4445"
"2","NatM_uniform_Fem_GP_1","0.33016198","0.36667","0.401122175"
"3","L_at_Amin_Fem_GP_1","0.737873265","1.173495","1.80154125"
"4","L_at_Amax_Fem_GP_1","99.43454475","99.46095","99.49182"
"5","VonBert_K_Fem_GP_1","0.18224658","0.185795","0.189574775"
"6","SD_young_Fem_GP_1","3.42173735","3.75245","4.12394525"
"7","SD_old_Fem_GP_1","7.35266565","7.837945","8.38442725"
"8","NatM_uniform_Fem_GP_1_ENV_add","1.097417675","1.386535","1.700495"
"9","L_at_Amin_Fem_GP_1_ENV_mult","1.367630375","1.76591","2.1558985"
"10","L_at_Amax_Fem_GP_1_ENV_mult","0.002339363925","0.043397","0.0854060925"
"11","VonBert_K_Fem_GP_1_ENV_mult","-0.0893399185","-0.02353115","0.04231228"
"12","AgeKeyParm2_BLK6repl_1976","0.2864563","0.3832355","0.4878996"
"13","AgeKeyParm3_BLK6repl_1976","-0.4419546675","-0.204851","0.0580540274999999"
"14","SR_LN.R0.","12.9500325","13.2509","13.551165"
"15","SR_LN.R0._ENV_mult","-0.01411887625","-0.00760139","-0.0014873975"
"16","SR_regime_BLK5repl_1976","-0.97427808","-0.630822","-0.254077325"
"17","Early_InitAge_10","-1.224766775","-0.5335025","0.173088075"
"18","Early_InitAge_9","-1.07233795","-0.3799215","0.3378429"
"19","Early_InitAge_8","-1.0253365","-0.222541","0.512762475"
"20","Early_InitAge_7","-1.0451917","-0.222355","0.5278438"
"21","Early_InitAge_6","-0.9766500975","-0.2107265","0.621959275"
"22","Early_InitAge_5","-0.8432881975","-0.10397","0.729262075"
"23","Early_InitAge_4","-0.009802323775","0.7223355","1.30752575"
"24","Early_InitAge_3","-0.46542992","0.141984","0.708534975"
"25","Early_InitAge_2","-0.9315716425","-0.3412725","0.20233915"
"26","Early_InitAge_1","-0.9021739725","-0.3100975","0.374307525"
"27","Early_RecrDev_1977","0.3030773525","0.792619","1.1846205"
"28","Main_RecrDev_1978","-0.405515705","0.168215","0.742610925"
"29","Main_RecrDev_1979","-0.5624668525","-0.0765794","0.3784761"
"30","Main_RecrDev_1980","-0.7666035625","-0.147214","0.30412895"
"31","Main_RecrDev_1981","0.300197765","0.5852275","0.8741542"
"32","Main_RecrDev_1982","0.18034183","0.550782","0.882842925"
"33","Main_RecrDev_1983","-0.334089465","0.2011345","0.67757435"
"34","Main_RecrDev_1984","-0.273745525","0.20983","0.62000345"
"35","Main_RecrDev_1985","0.6479494225","0.994784","1.3348155"
"36","Main_RecrDev_1986","-0.61352643","-0.1933495","0.270730375"
"37","Main_RecrDev_1987","-0.155217205","0.181858","0.460442425"
"38","Main_RecrDev_1988","0.01075796415","0.297162","0.540266425"
"39","Main_RecrDev_1989","0.09998615725","0.370046","0.633902425"
"40","Main_RecrDev_1990","0.1622717725","0.431767","0.6920418"
"41","Main_RecrDev_1991","-0.4074791375","-0.07149065","0.2262638"
"42","Main_RecrDev_1992","-0.3940609925","-0.10132","0.16089445"
"43","Main_RecrDev_1993","-0.69518627","-0.3585655","-0.0550446125000002"
"44","Main_RecrDev_1994","-0.45908809","-0.189583","0.0885858999999998"
"45","Main_RecrDev_1995","-0.09364663225","0.1333465","0.3478205"
"46","Main_RecrDev_1996","-0.61851929","-0.334316","-0.0530560175000005"
"47","Main_RecrDev_1997","-0.5526144675","-0.292593","-0.0536018850000003"
"48","Main_RecrDev_1998","-0.49560806","-0.1195505","0.2561782"
"49","Main_RecrDev_1999","-0.151365515","0.0680003","0.27455955"
"50","Main_RecrDev_2000","-0.1323802","0.0724993","0.26642175"
"51","Main_RecrDev_2001","-0.1628058075","0.1155655","0.35704035"
"52","Main_RecrDev_2002","-0.848038365","-0.573873","-0.32962065"
"53","Main_RecrDev_2003","-0.2890019125","0.08224515","0.46025475"
"54","Main_RecrDev_2004","-0.436658205","-0.235543","-0.0061958145000001"
"55","Main_RecrDev_2005","-0.159046895","0.028539","0.206821125"
"56","Main_RecrDev_2006","0.1177844","0.2950465","0.4938446"
"57","Main_RecrDev_2007","-0.32683146","-0.09313165","0.1142695"
"58","Main_RecrDev_2008","0.07705187175","0.2426225","0.4483771"
"59","Main_RecrDev_2009","-0.643715675","-0.3425265","-0.0796362650000001"
"60","Main_RecrDev_2010","-0.3868522925","-0.2024415","0.0251591475"
"61","Main_RecrDev_2011","0.0290815445","0.262939","0.50004205"
"62","Main_RecrDev_2012","0.66638022","0.8863975","1.11229125"
"63","Main_RecrDev_2013","0.2112527125","0.5101275","0.80287685"
"64","Main_RecrDev_2014","-0.7861495025","-0.4245015","-0.0135091700000001"
"65","Main_RecrDev_2015","-1.002395725","-0.424732","0.13762065"
"66","Main_RecrDev_2016","0.0277375095","0.4610645","0.929762075"
"67","Main_RecrDev_2017","-0.8675968","-0.536994","-0.267157975"
"68","Main_RecrDev_2018","-0.699778255","-0.4120195","-0.0935524600000001"
"69","Late_RecrDev_2019","-1.090077925","-0.569642","-0.0572111525"
"70","Late_RecrDev_2020","-1.00690585","-0.550759","-0.146951675"
"71","Late_RecrDev_2021","-0.811895335","-0.01162585","0.725364025"
"72","ForeRecr_2022","-0.831561425","0.09138535","0.875121375"
"73","ForeRecr_2023","-0.8402768875","0.003986355","0.79021405"
"74","ForeRecr_2024","-0.909036775","-0.0171743","0.784269599999999"
"75","ForeRecr_2025","-0.73923077","0.0492101","0.95413835"
"76","ForeRecr_2026","-0.7379646725","0.0637949","0.9221183"
"77","ForeRecr_2027","-0.81836727","-0.00947337","0.883725325"
"78","ForeRecr_2028","-0.8156234775","0.077517","0.889985749999999"
"79","ForeRecr_2029","-0.89057636","-0.007305825","0.922883175"
"80","ForeRecr_2030","-0.74538407","0.05856935","0.874317825"
"81","ForeRecr_2031","-0.8747438625","-0.00319444","0.85450125"
"82","ForeRecr_2032","-0.7751277675","-0.001802255","0.94089365"
"83","ForeRecr_2033","-0.81146487","-0.0425697","0.738388375"
"84","ForeRecr_2034","-0.7369603425","0.0257258","0.871603725"
"85","ForeRecr_2035","-0.8040422075","0.0280521","0.808349675"
"86","ForeRecr_2036","-0.8416861525","-0.06606995","0.787731"
"87","LnQ_base_Srv.4.","-0.06324754325","0.0810389","0.231794225"
"88","LnQ_base_LLSrv.5.","0.01864220875","0.0862352","0.235517275"
"89","LnQ_base_Seine.9.","-10.70547625","-9.84606","-8.9938135"
"90","Q_extraSD_Seine.9.","0.7314601375","1.18365","1.86523425"
"91","LnQ_base_LLSrv_ENV_mult","0.5246336625","1.12587","2.207849"
"92","Size_DblN_peak_FshTrawl.1.","46.47479875","53.73025","62.2666525"
"93","Size_DblN_top_logit_FshTrawl.1.","-19.02340675","-4.230195","9.5873425"
"94","Size_DblN_ascend_se_FshTrawl.1.","4.035008325","4.699235","5.35812575"
"95","Size_DblN_descend_se_FshTrawl.1.","-9.411590325","0.6909285","9.7179055"
"96","Size_DblN_peak_FshLL.2.","57.05346275","64.21385","73.7359725"
"97","Size_DblN_top_logit_FshLL.2.","-19.3024125","-5.376305","8.958109"
"98","Size_DblN_ascend_se_FshLL.2.","4.475946825","5.04447","5.710252"
"99","Size_DblN_peak_FshPot.3.","69.9617085","70.79035","71.699205"
"100","Size_DblN_top_logit_FshPot.3.","-19.32945825","-11.17955","-3.7494085"
"101","Size_DblN_ascend_se_FshPot.3.","4.928628725","5.01391","5.096397"
"102","Size_DblN_descend_se_FshPot.3.","2.680411075","3.908865","4.717318"
"103","Size_DblN_end_logit_FshPot.3.","-0.22812881","0.3140665","0.82398235"
"104","Size_DblN_peak_Srv.4.","54.8771165","60.2354","64.67654"
"105","Size_DblN_top_logit_Srv.4.","-19.19407075","-11.5488","-3.16505625"
"106","Size_DblN_ascend_se_Srv.4.","5.020604825","5.60682","6.046729"
"107","Size_DblN_descend_se_Srv.4.","0.67608302","3.941675","5.80567675"
"108","Size_DblN_start_logit_Srv.4.","-3.78097305","-3.07774","-2.51198475"
"109","Size_DblN_end_logit_Srv.4.","-2.3725773","-0.7822925","0.138884375"
"110","Size_DblN_peak_LLSrv.5.","64.6646575","65.4693","66.4611725"
"111","Size_DblN_top_logit_LLSrv.5.","-19.43445125","-11.6915","-4.1890105"
"112","Size_DblN_ascend_se_LLSrv.5.","4.55407885","4.662605","4.77683825"
"113","Size_DblN_descend_se_LLSrv.5.","3.897806675","4.680195","5.284113"
"114","Size_DblN_end_logit_LLSrv.5.","-1.035154","-0.4399995","0.0975530424999995"
"115","Size_DblN_peak_FshTrawl.1._BLK2repl_1990","75.80126825","78.24975","80.8559975"
"116","Size_DblN_peak_FshTrawl.1._BLK2repl_2005","87.70554175","96.23355","104.4081"
"117","Size_DblN_peak_FshTrawl.1._BLK2repl_2007","77.11956625","80.43115","84.0658325"
"118","Size_DblN_top_logit_FshTrawl.1._BLK2repl_1990","-18.98728675","-5.538715","8.87060475"
"119","Size_DblN_top_logit_FshTrawl.1._BLK2repl_2005","-19.03795225","-5.334535","9.35053475"
"120","Size_DblN_top_logit_FshTrawl.1._BLK2repl_2007","-18.98797575","-5.19832","8.8968365"
"121","Size_DblN_top_logit_FshTrawl.1._BLK2repl_2017","-18.88395625","-4.65218","9.24287125"
"122","Size_DblN_ascend_se_FshTrawl.1._BLK2repl_1990","5.8714331","5.991905","6.10603825"
"123","Size_DblN_ascend_se_FshTrawl.1._BLK2repl_2005","5.9715191","6.297185","6.55559025"
"124","Size_DblN_ascend_se_FshTrawl.1._BLK2repl_2007","6.116062175","6.25985","6.393978"
"125","Size_DblN_ascend_se_FshTrawl.1._BLK2repl_2017","6.14097475","6.238245","6.351013"
"126","Size_DblN_descend_se_FshTrawl.1._BLK2repl_1990","0.24107382","5.228115","9.7179585"
"127","Size_DblN_descend_se_FshTrawl.1._BLK2repl_2005","0.4215886675","5.12685","9.74535375"
"128","Size_DblN_descend_se_FshTrawl.1._BLK2repl_2007","0.200148885","5.19601","9.594994"
"129","Size_DblN_descend_se_FshTrawl.1._BLK2repl_2017","0.4925809375","5.29059","9.79784675"
"130","Size_DblN_peak_FshLL.2._BLK2repl_1990","69.76223075","71.63965","73.48852"
"131","Size_DblN_peak_FshLL.2._BLK2repl_2005","66.242071","68.9238","71.90343"
"132","Size_DblN_peak_FshLL.2._BLK2repl_2007","70.844471","72.7231","74.67203"
"133","Size_DblN_peak_FshLL.2._BLK2repl_2017","67.74170125","71.713","76.683165"
"134","Size_DblN_top_logit_FshLL.2._BLK2repl_1990","-18.75451725","-5.226925","9.336167"
"135","Size_DblN_top_logit_FshLL.2._BLK2repl_2005","-18.59714625","-4.47973","9.12167975"
"136","Size_DblN_top_logit_FshLL.2._BLK2repl_2007","-19.3249405","-4.812335","9.35947275"
"137","Size_DblN_top_logit_FshLL.2._BLK2repl_2017","-18.99305625","-5.831155","9.42571175"
"138","Size_DblN_ascend_se_FshLL.2._BLK2repl_1990","5.1910337","5.330055","5.46617475"
"139","Size_DblN_ascend_se_FshLL.2._BLK2repl_2005","4.970574525","5.28186","5.5223535"
"140","Size_DblN_ascend_se_FshLL.2._BLK2repl_2007","5.330373975","5.45096","5.57221225"
"141","Size_DblN_ascend_se_FshLL.2._BLK2repl_2017","4.970963725","5.310775","5.6572775"
"142","Size_DblN_peak_FshPot.3._BLK3repl_2017","71.42237775","76.18855","81.9933025"
"143","Size_DblN_top_logit_FshPot.3._BLK3repl_2017","-0.96429699","4.64397","9.8499555"
"144","Size_DblN_ascend_se_FshPot.3._BLK3repl_2017","5.069181425","5.45652","5.78991075"
"145","Size_DblN_peak_Srv.4._BLK1repl_1996","55.165577","60.74975","65.471675"
"146","Size_DblN_peak_Srv.4._BLK1repl_2006","51.875989","56.31675","60.7645125"
"147","Size_DblN_top_logit_Srv.4._BLK1repl_1996","-18.7826605","-4.336195","9.113417"
"148","Size_DblN_top_logit_Srv.4._BLK1repl_2006","-19.24467675","-5.209535","9.353644"
"149","Size_DblN_ascend_se_Srv.4._BLK1repl_1996","4.84708115","5.45569","5.96918575"
"150","Size_DblN_ascend_se_Srv.4._BLK1repl_2006","4.4125056","5.065545","5.5315845"
"151","Size_DblN_descend_se_Srv.4._BLK1repl_1996","0.34196761","4.77988","9.6925055"
"152","Size_DblN_descend_se_Srv.4._BLK1repl_2006","0.27747931","5.068405","9.76027325"
"153","Size_DblN_start_logit_Srv.4._BLK1repl_1996","-2.612276475","-2.174345","-1.85983625"
"154","Size_DblN_start_logit_Srv.4._BLK1repl_2006","-2.340045975","-2.017125","-1.72379675"
"155","Size_DblN_peak_FshTrawl.1._DEVmult_1977","-1.4371987","-0.3484905","0.7573914"
"156","Size_DblN_peak_FshTrawl.1._DEVmult_1978","-1.4492826","-0.3515975","0.835487075"
"157","Size_DblN_peak_FshTrawl.1._DEVmult_1979","-1.897312","-0.07549475","1.962971"
"158","Size_DblN_peak_FshTrawl.1._DEVmult_1980","-0.2356571475","0.6512245","1.57944525"
"159","Size_DblN_peak_FshTrawl.1._DEVmult_1981","-1.134416125","-0.243786","0.685449974999999"
"160","Size_DblN_peak_FshTrawl.1._DEVmult_1982","-1.466235825","-0.193082","0.73925485"
"161","Size_DblN_peak_FshTrawl.1._DEVmult_1983","-0.532779845","0.2210035","0.94965705"
"162","Size_DblN_peak_FshTrawl.1._DEVmult_1984","-0.99183706","-0.187495","0.629027725"
"163","Size_DblN_peak_FshTrawl.1._DEVmult_1985","0.09719200975","0.9007195","1.63464725"
"164","Size_DblN_peak_FshTrawl.1._DEVmult_1986","-2.11184515","-0.550284","1.3129235"
"165","Size_DblN_peak_FshTrawl.1._DEVmult_1987","-1.14081905","0.0353583","1.39891325"
"166","Size_DblN_peak_FshTrawl.1._DEVmult_1988","-0.4322769925","0.3816795","1.24341775"
"167","Size_DblN_peak_FshTrawl.1._DEVmult_1989","-1.529157425","0.2932035","1.63970775"
"168","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1977","-1.687348925","-0.158412","1.21594525"
"169","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1978","-1.49837685","-0.14268","1.32158475"
"170","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1979","-1.6494196","0.1620335","1.79351175"
"171","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1980","-0.8919145975","0.265798","1.34574725"
"172","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1981","-1.97306465","-0.432911","0.814850625"
"173","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1982","-1.614838","0.1291565","1.12865"
"174","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1983","-1.3025451","-0.0998574","0.762651775"
"175","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1984","-1.495140475","-0.572513","0.449295625"
"176","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1985","0.02399224225","0.75702","1.62496025"
"177","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1986","-1.352691675","0.4771135","2.01124575"
"178","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1987","-1.980988175","-0.1435425","1.424733"
"179","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1988","-0.7331748675","0.144726","1.127538"
"180","Size_DblN_ascend_se_FshTrawl.1._DEVmult_1989","-0.5526420675","0.7286385","1.88392825"
"181","Size_DblN_descend_se_FshTrawl.1._DEVmult_1977","-1.875843225","-0.03083125","2.015891"
"182","Size_DblN_descend_se_FshTrawl.1._DEVmult_1978","-1.72941635","-0.03760825","1.93242075"
"183","Size_DblN_descend_se_FshTrawl.1._DEVmult_1979","-1.88178135","-0.02111535","2.10320825"
"184","Size_DblN_descend_se_FshTrawl.1._DEVmult_1980","-1.739851875","-0.013879","1.9223895"
"185","Size_DblN_descend_se_FshTrawl.1._DEVmult_1981","-1.644743875","-0.05093845","1.7985735"
"186","Size_DblN_descend_se_FshTrawl.1._DEVmult_1982","-1.6512889","0.08073575","2.18341125"
"187","Size_DblN_descend_se_FshTrawl.1._DEVmult_1983","-1.73868855","0.017307375","1.8831545"
"188","Size_DblN_descend_se_FshTrawl.1._DEVmult_1984","-2.3193016","-0.131932","2.12352075"
"189","Size_DblN_descend_se_FshTrawl.1._DEVmult_1985","-2.33513625","0.00462819","2.0369275"
"190","Size_DblN_descend_se_FshTrawl.1._DEVmult_1986","-1.741223075","0.0261711","1.8052585"
"191","Size_DblN_descend_se_FshTrawl.1._DEVmult_1987","-2.056830625","-0.1888995","1.946346"
"192","Size_DblN_descend_se_FshTrawl.1._DEVmult_1988","-1.808491375","-0.07220355","1.93573375"
"193","Size_DblN_descend_se_FshTrawl.1._DEVmult_1989","-2.162525775","0.127726","1.793699"
"194","Size_DblN_peak_FshLL.2._DEVmult_1978","-1.32340195","-0.3575615","0.4164356"
"195","Size_DblN_peak_FshLL.2._DEVmult_1979","-1.04264415","-0.2876655","0.694189625"
"196","Size_DblN_peak_FshLL.2._DEVmult_1980","-0.9619425725","0.06358445","0.979983025"
"197","Size_DblN_peak_FshLL.2._DEVmult_1981","-1.404980075","-0.625863","0.0728709149999999"
"198","Size_DblN_peak_FshLL.2._DEVmult_1982","-1.3247549","-0.567126","0.214021725"
"199","Size_DblN_peak_FshLL.2._DEVmult_1983","-1.332942075","-0.63213","0.0166899727499998"
"200","Size_DblN_peak_FshLL.2._DEVmult_1984","-0.660901635","0.131302","0.82369365"
"201","Size_DblN_peak_FshLL.2._DEVmult_1985","0.70845454","1.51948","2.3207715"
"202","Size_DblN_peak_FshLL.2._DEVmult_1986","0.4573434225","1.207115","2.028656"
"203","Size_DblN_peak_FshLL.2._DEVmult_1987","-1.970303725","-0.0468667","1.8729305"
"204","Size_DblN_peak_FshLL.2._DEVmult_1988","-1.414311675","-0.1181855","0.928915475"
"205","Size_DblN_peak_FshLL.2._DEVmult_1989","-1.697995375","0.15291","1.8435"
"206","Size_DblN_ascend_se_FshLL.2._DEVmult_1978","-1.595645225","-0.247131","0.618316949999999"
"207","Size_DblN_ascend_se_FshLL.2._DEVmult_1979","-1.224094675","-0.223962","0.80770475"
"208","Size_DblN_ascend_se_FshLL.2._DEVmult_1980","-1.1443642","0.299975","1.15872925"
"209","Size_DblN_ascend_se_FshLL.2._DEVmult_1981","-1.658067225","-0.8059425","0.0579206174999999"
"210","Size_DblN_ascend_se_FshLL.2._DEVmult_1982","-1.205956525","-0.365963","0.44791235"
"211","Size_DblN_ascend_se_FshLL.2._DEVmult_1983","-1.8370563","-0.8831735","-0.0870708425000008"
"212","Size_DblN_ascend_se_FshLL.2._DEVmult_1984","-0.680383985","0.164485","0.909774975"
"213","Size_DblN_ascend_se_FshLL.2._DEVmult_1985","0.4455743125","1.083605","1.73986625"
"214","Size_DblN_ascend_se_FshLL.2._DEVmult_1986","0.2001683475","0.905376","1.57469625"
"215","Size_DblN_ascend_se_FshLL.2._DEVmult_1987","-1.78695015","-0.02759915","1.81355375"
"216","Size_DblN_ascend_se_FshLL.2._DEVmult_1988","-1.785899575","-0.0954464","1.289548"
"217","Size_DblN_ascend_se_FshLL.2._DEVmult_1989","-1.70315265","0.142165","2.00871075"
