YEAR,OBS_GEAR_CODE,FMP_GEAR,FMP_SUBAREA,MONTH,NHAUL,NVES,MCPUEW,MCPUEN,sdCPUEW,sdCPUEN
1996,1,TRW,BS,1,84,12,21.48450993,9.231540702,28.38322731,8.599581095
1996,1,TRW,BS,2,115,14,32.6212388,12.23220504,44.47731042,15.55470075
1996,1,TRW,BS,3,531,21,39.99090274,13.94530653,48.7853645,17.47451355
1996,1,TRW,BS,4,324,7,42.33901959,13.48933958,67.05970518,22.00521249
1996,1,TRW,BS,5,12,2,40.0456635,22.92319665,15.86652085,9.572780473
1996,1,TRW,BS,6,81,7,14.75943027,6.851786188,17.1828329,9.395237603
1996,1,TRW,BS,7,3,1,16.78167222,3.576055556,17.93343175,2.996717928
1996,1,TRW,BS,9,4,1,24.20836667,7.24775,19.90922295,9.694283324
1996,1,TRW,BS,11,34,5,29.9136295,5.152602501,36.94432287,5.858539916
1997,1,TRW,BS,1,58,5,46.42737381,15.82351441,35.87258753,11.33480803
1997,1,TRW,BS,2,420,25,67.942353,20.11155056,60.15298893,14.77241467
1997,1,TRW,BS,3,1661,75,50.40396686,16.63187317,69.42968992,20.65083122
1997,1,TRW,BS,4,1271,68,34.46700082,10.85449211,27.65795511,9.111214777
1997,1,TRW,BS,5,253,21,16.89011555,6.879116231,14.91027909,6.55865126
1997,1,TRW,BS,6,63,5,6.938622532,3.116537343,4.668090825,2.261699386
1997,1,TRW,BS,7,7,4,19.85253154,3.974090836,31.14618138,4.65247242
1997,1,TRW,BS,8,79,5,20.24119445,4.216911,20.03454898,3.47201427
1997,1,TRW,BS,9,1,1,1.7248,0.584666667,NA,NA
1998,1,TRW,BS,1,160,13,43.2177368,8.719026995,37.29637469,6.634033925
1998,1,TRW,BS,2,201,21,62.66267067,12.77563344,42.38364061,7.901797362
1998,1,TRW,BS,3,1305,68,33.82432871,9.696699899,63.02122792,16.04326294
1998,1,TRW,BS,4,588,62,20.19174899,5.182473406,16.86583023,4.10854638
1998,1,TRW,BS,5,46,5,14.67812759,7.255116974,12.47303463,6.416205546
1998,1,TRW,BS,6,36,2,17.72636876,10.65003901,12.84548439,9.197440766
1998,1,TRW,BS,7,19,1,33.81260195,9.484878999,33.2950379,9.213589166
1998,1,TRW,BS,8,110,11,16.55696369,5.428726029,14.91646246,4.8064477
1998,1,TRW,BS,9,40,3,15.0743471,3.867862097,13.39662481,3.21437825
1998,1,TRW,BS,10,27,3,6.52609379,1.914474595,6.736471396,1.856967086
1998,1,TRW,BS,11,25,4,7.146058664,1.236685333,6.813596348,1.106293303
1999,1,TRW,BS,1,240,16,23.26993868,7.043328703,19.26717435,10.76401702
1999,1,TRW,BS,2,460,39,46.34318428,12.06128493,36.65548939,10.6493321
1999,1,TRW,BS,3,935,60,32.05284911,10.22592026,52.53328382,14.96736134
1999,1,TRW,BS,4,569,56,33.93960738,12.33432691,122.0587291,39.8679164
1999,1,TRW,BS,5,128,12,19.48680406,8.194201958,13.43724783,6.110017982
1999,1,TRW,BS,6,2,1,17.72239642,16.19026854,16.63919913,19.00308422
1999,1,TRW,BS,7,5,1,15.97518223,5.455221675,20.83048462,7.326032162
1999,1,TRW,BS,8,7,2,12.95729358,3.850509467,8.979256151,2.837165745
1999,1,TRW,BS,9,24,3,15.10229883,5.424205355,9.274021891,2.985179923
1999,1,TRW,BS,10,21,7,13.38917823,2.655075048,8.38773313,1.336107443
1999,1,TRW,BS,11,10,2,10.96196253,2.112198077,15.55080391,2.216786873
1999,1,TRW,BS,12,3,2,8.676271225,1.443156695,2.483612733,0.319563506
2000,1,TRW,BS,1,93,16,32.64273651,6.847206455,25.27138196,5.569221359
2000,1,TRW,BS,2,483,32,32.28663167,7.87094132,22.55950881,6.087784986
2000,1,TRW,BS,3,575,59,34.86229991,9.034753905,51.95712238,12.89092364
2000,1,TRW,BS,4,836,57,22.72804511,7.519058611,27.337358,9.111387633
2000,1,TRW,BS,5,130,12,25.49187992,14.59815307,25.50714819,18.41075843
2000,1,TRW,BS,6,27,6,10.45478651,6.335298922,7.099488562,4.647234379
2000,1,TRW,BS,7,6,4,10.21754601,3.688680556,11.45667418,3.076688565
2000,1,TRW,BS,9,6,1,64.15817804,15.49938284,137.0533055,31.81824057
2001,1,TRW,BS,1,47,10,11.21715443,2.58946297,7.236995392,1.745331772
2001,1,TRW,BS,2,320,21,24.46799824,7.335060281,23.11993122,9.756956448
2001,1,TRW,BS,3,328,31,29.03982819,8.959877902,60.98000512,20.623756
2001,1,TRW,BS,4,479,50,14.93609524,4.412545715,12.73999188,4.76130438
2001,1,TRW,BS,5,36,6,13.7107626,5.725522434,13.29869464,5.294799083
2001,1,TRW,BS,6,91,5,41.84045651,21.00662572,41.62592037,20.9523847
2001,1,TRW,BS,7,36,4,55.95874762,23.18058524,100.6565261,38.9458741
2001,1,TRW,BS,8,53,5,13.75277501,3.375804565,14.90567967,3.569390605
2001,1,TRW,BS,9,133,15,14.12405077,3.765139884,17.11529619,4.336181181
2001,1,TRW,BS,10,26,8,6.64169044,2.233134429,7.183047581,2.631057628
2002,1,TRW,BS,1,27,4,31.2306608,20.7942141,26.79034072,35.53444425
2002,1,TRW,BS,2,320,26,37.60272282,10.34396467,27.55604655,7.905377352
2002,1,TRW,BS,3,526,47,33.31984402,10.27429629,54.1543086,17.12560174
2002,1,TRW,BS,4,452,43,16.66778011,5.364633507,22.82531221,6.945167344
2002,1,TRW,BS,5,181,10,20.04358529,10.55901372,17.64471982,9.423666159
2002,1,TRW,BS,6,155,7,38.99769809,26.66216786,35.61420436,27.21722299
2002,1,TRW,BS,7,29,3,28.48302137,21.65637493,21.08599762,17.06871203
2002,1,TRW,BS,8,153,11,11.63532787,4.257148821,7.547214527,3.13871443
2002,1,TRW,BS,9,77,7,13.09016135,3.445947146,14.63933108,5.32758613
2002,1,TRW,BS,10,56,6,12.57376994,3.560472261,16.87423008,4.062806467
2002,1,TRW,BS,11,16,3,26.02360619,9.087189514,20.46097609,8.065655876
2003,1,TRW,BS,1,45,5,17.29385162,6.464301469,13.8601861,6.993613796
2003,1,TRW,BS,2,234,20,22.94756556,7.38054347,18.65769303,9.969326609
2003,1,TRW,BS,3,583,38,31.67917744,8.340603987,49.00941967,12.01327857
2003,1,TRW,BS,4,587,54,18.98329243,5.696036968,83.88523457,20.25732893
2003,1,TRW,BS,5,156,14,11.89156005,4.923857226,7.753715204,4.592638164
2003,1,TRW,BS,6,237,7,36.92259396,15.59780871,60.68225021,18.00733301
2003,1,TRW,BS,7,87,6,39.59139218,10.600527,54.4432337,11.30612037
2003,1,TRW,BS,8,348,12,17.01550795,5.062951121,17.39060675,5.914273662
2003,1,TRW,BS,9,149,9,17.99659058,4.167164079,25.91027148,5.184794088
2004,1,TRW,BS,1,163,13,45.38900841,21.93698829,45.69024368,23.98985354
2004,1,TRW,BS,2,363,27,53.15190046,15.44298687,89.7707468,27.43996066
2004,1,TRW,BS,3,384,35,53.3220792,14.45143907,92.8279072,25.32282159
2004,1,TRW,BS,4,310,43,26.45548453,8.981327829,46.06484456,17.31171014
2004,1,TRW,BS,5,185,9,22.6416642,13.13462184,22.06635193,11.95344669
