YEAR,OBS_GEAR_CODE,FMP_GEAR,FMP_SUBAREA,MONTH,NVES,NHAUL,MCPUEW,MCPUEN,sdCPUEW,sdCPUEN
1996,2,TRW,BS,1,68,457,12.294355,1.767856489,13.80182803,2.121554874
1996,2,TRW,BS,2,95,2729,5.899433951,1.088908211,25.74910004,5.193618615
1996,2,TRW,BS,3,74,676,4.257483271,1.335080599,10.00468732,3.302427222
1996,2,TRW,BS,4,2,32,23.68841565,4.286903728,19.74546799,3.336288793
1996,2,TRW,BS,5,1,3,37.84028889,6.204850794,10.75721645,1.432074341
1996,2,TRW,BS,6,2,42,0.360239135,0.076668049,1.038443915,0.136655004
1996,2,TRW,BS,7,1,52,0.692393259,0.105914034,1.133772493,0.131743139
1996,2,TRW,BS,8,22,219,1.328026485,0.30116974,2.387395395,0.492244455
1996,2,TRW,BS,9,92,2926,2.681271227,0.435357388,10.46113719,1.30221239
1996,2,TRW,BS,10,101,2210,2.205245496,0.415561198,4.687434994,0.818119504
1996,2,TRW,BS,11,3,111,3.045724059,0.364010447,4.315177094,0.482230759
1997,2,TRW,BS,1,45,224,25.15055074,3.350085361,40.80001649,5.365666617
1997,2,TRW,BS,2,81,2023,9.658761711,3.003213378,32.04031854,31.60709587
1997,2,TRW,BS,3,16,103,12.24198476,3.927379021,18.83171537,5.110851741
1997,2,TRW,BS,4,3,21,12.74657442,7.600279168,23.21939362,10.1248722
1997,2,TRW,BS,5,2,7,2.500165381,0.806318449,2.289759073,0.558419004
1997,2,TRW,BS,6,1,3,4.002666667,0.993607407,1.459187119,0.53817877
1997,2,TRW,BS,8,16,191,1.926407487,1.048085865,16.5222154,12.32981092
1997,2,TRW,BS,9,90,1517,2.598555055,1.928774918,21.96222532,58.68866541
1997,2,TRW,BS,10,102,693,2.344035829,0.59325604,4.744108982,3.15957532
1998,2,TRW,BS,1,57,414,12.92701189,2.343381253,24.7276566,4.393047967
1998,2,TRW,BS,2,77,972,6.996746667,1.815689231,22.22892907,4.767683934
1998,2,TRW,BS,3,7,20,21.46683828,5.367934498,15.3440631,3.67906905
1998,2,TRW,BS,4,1,6,19.5901363,5.337726243,10.85811006,2.971701316
1998,2,TRW,BS,7,2,3,0.035413016,0.005336411,0.029027911,0.000355325
1998,2,TRW,BS,8,9,163,0.657731058,0.125968349,2.139062567,0.314581916
1998,2,TRW,BS,9,84,1581,2.1731051,0.617874785,9.960094663,7.193859253
1998,2,TRW,BS,10,93,2141,3.419608395,0.83760438,13.18545506,5.964414767
1998,2,TRW,BS,11,6,101,2.318520826,0.462264868,2.732423028,0.576955656
1999,2,TRW,BS,1,37,324,7.936762626,1.436495649,16.58725234,2.464207486
1999,2,TRW,BS,2,58,1486,4.873877188,1.429711893,9.172174146,3.366878449
1999,2,TRW,BS,3,15,416,3.150192447,0.805951943,9.38189283,1.83455439
1999,2,TRW,BS,7,10,113,1.96590392,0.546199622,3.137197494,0.995438127
1999,2,TRW,BS,8,66,994,2.231459732,0.653216253,4.034485393,1.214659416
1999,2,TRW,BS,9,51,1340,2.0839855,0.486785368,3.609413754,0.714714282
1999,2,TRW,BS,10,51,948,1.996099623,0.606245082,5.963639888,2.970013786
1999,2,TRW,BS,11,3,53,1.154535642,0.264935168,1.080425222,0.271400912
2000,2,TRW,BS,1,33,182,22.06386901,4.662011873,77.60861299,14.3453675
2000,2,TRW,BS,2,52,1241,3.721312897,0.931034398,16.39550895,2.60488001
2000,2,TRW,BS,3,37,938,3.306490152,1.47838278,25.80221281,17.26188321
2000,2,TRW,BS,4,12,196,1.699061261,0.553738784,2.332762672,1.106747606
2000,2,TRW,BS,6,2,12,2.059028405,0.838561939,3.479989992,1.573932806
2000,2,TRW,BS,7,29,458,1.430661458,0.347822754,2.22841915,0.528514386
2000,2,TRW,BS,8,57,1351,1.251422635,0.307432301,2.072331214,0.53723636
2000,2,TRW,BS,9,63,1872,1.914339924,0.473226137,2.403445433,0.580592227
2000,2,TRW,BS,10,51,863,1.50738527,0.386018006,2.085051512,0.516770512
2000,2,TRW,BS,11,9,15,3.18109486,0.847219219,3.889105648,1.025978711
2001,2,TRW,BS,1,33,263,6.428172253,1.079593474,21.42226286,2.758125668
2001,2,TRW,BS,2,69,1565,3.00696761,0.661024237,6.620074677,1.270706064
2001,2,TRW,BS,3,59,1752,2.303941793,0.75945263,7.590163104,1.982401936
2001,2,TRW,BS,4,19,531,3.139885333,1.053279038,3.934677994,1.497729718
2001,2,TRW,BS,6,9,137,1.139733463,0.331276387,1.766203282,0.576827332
2001,2,TRW,BS,7,37,1053,1.487049985,0.366990878,3.577861486,0.937955756
2001,2,TRW,BS,8,48,1327,2.430057308,0.544661475,7.59128164,1.244439389
2001,2,TRW,BS,9,49,1313,1.445086924,0.340702305,4.536598913,1.028762381
2001,2,TRW,BS,10,43,825,1.69507194,0.458154774,4.172476201,0.958061498
2001,2,TRW,BS,11,4,35,0.588764956,0.169500281,0.844208133,0.250709495
2002,2,TRW,BS,1,39,382,10.28935119,2.20835509,19.1346662,4.01218946
2002,2,TRW,BS,2,71,2211,8.500691959,2.546406655,15.9952586,5.153897365
2002,2,TRW,BS,3,66,1729,4.96305539,2.131555822,9.384879681,3.962890129
2002,2,TRW,BS,4,3,16,8.545847208,2.637433202,5.053906405,1.977033853
2002,2,TRW,BS,6,23,433,1.41464361,0.525642108,9.337388727,4.101751098
2002,2,TRW,BS,7,49,1657,1.265723458,0.372180449,3.328411239,0.913697866
2002,2,TRW,BS,8,74,2306,1.848837348,0.506467489,3.644157373,0.97510514
2002,2,TRW,BS,9,54,1376,2.349680491,0.574436753,18.07963407,4.103137487
2002,2,TRW,BS,10,31,488,2.103320413,0.534904923,2.983773851,0.81014014
2003,2,TRW,BS,1,43,473,16.35806222,3.200572868,37.24912606,6.02166961
2003,2,TRW,BS,2,75,2186,7.548539836,1.659483749,17.06828653,3.991754395
2003,2,TRW,BS,3,67,2119,3.899717819,1.300210753,8.035389513,2.161770374
2003,2,TRW,BS,4,6,38,6.574878462,1.952657755,10.30938353,2.04781916
2003,2,TRW,BS,6,25,611,1.376145045,0.371919875,6.33720362,1.466062829
2003,2,TRW,BS,7,46,1515,1.405252362,0.349809775,4.028551313,0.906402081
2003,2,TRW,BS,8,53,2071,1.804776152,0.423568604,4.973859409,0.889319095
2003,2,TRW,BS,9,51,1258,2.183970377,0.449116331,14.10271428,1.642841037
2003,2,TRW,BS,10,36,418,1.548097217,0.374143392,4.934185238,1.172091637
2004,2,TRW,BS,1,56,1171,9.998496445,2.348163423,24.07167867,5.143085364
2004,2,TRW,BS,2,78,2413,9.524406436,2.058661455,21.26742973,4.445695207
2004,2,TRW,BS,3,59,1325,4.892772463,1.29676381,10.97422536,2.790872762
2004,2,TRW,BS,6,35,576,2.502589281,0.526068934,6.562911097,1.259142374
2004,2,TRW,BS,7,52,1976,1.283659595,0.277450954,3.859764437,0.994410269
2004,2,TRW,BS,8,51,1485,1.167968014,0.228629832,5.948777684,1.016420734
2004,2,TRW,BS,9,50,1363,1.902010421,0.342567457,7.312336521,1.355347335
2004,2,TRW,BS,10,29,407,1.023455686,0.179665296,2.404448483,0.30650078
2004,2,TRW,BS,11,2,12,0.30611792,0.064570507,0.226419538,0.05153514
2005,2,TRW,BS,1,51,993,13.23861431,2.391830262,24.36301015,4.946372031
2005,2,TRW,BS,2,72,1892,7.691484401,1.311843995,14.93555423,2.378680871
2005,2,TRW,BS,3,59,1084,7.789907595,1.750531535,21.22513909,4.739539099
