WEEK_END_DATE,DOY,YEAR,FMP_AREA,SPECIES_GROUP_CODE,SUM_WEIGHT_POSTED,CUMM_CATCH
1-Jan-11,0,2011,GOA,PCOD,811.0827208,811.0827208
8-Jan-11,7,2011,GOA,PCOD,4443.589982,5254.672703
15-Jan-11,14,2011,GOA,PCOD,4726.988171,9981.660874
22-Jan-11,21,2011,GOA,PCOD,7668.528793,17650.18967
29-Jan-11,28,2011,GOA,PCOD,7407.972781,25058.16245
5-Feb-11,34,2011,GOA,PCOD,3862.09927,28920.26172
12-Feb-11,41,2011,GOA,PCOD,5483.43374,34403.69546
19-Feb-11,48,2011,GOA,PCOD,3285.805942,37689.5014
26-Feb-11,55,2011,GOA,PCOD,1451.12214,39140.62354
5-Mar-11,64,2011,GOA,PCOD,4913.473409,44054.09695
12-Mar-11,71,2011,GOA,PCOD,5877.418886,49931.51583
19-Mar-11,78,2011,GOA,PCOD,2301.176721,52232.69255
26-Mar-11,85,2011,GOA,PCOD,1064.666867,53297.35942
2-Apr-11,91,2011,GOA,PCOD,852.1354938,54149.49492
9-Apr-11,98,2011,GOA,PCOD,509.0112827,54658.5062
16-Apr-11,105,2011,GOA,PCOD,1051.301027,55709.80722
23-Apr-11,112,2011,GOA,PCOD,404.8377328,56114.64496
30-Apr-11,119,2011,GOA,PCOD,227.2411385,56341.8861
7-May-11,126,2011,GOA,PCOD,210.6064418,56552.49254
14-May-11,133,2011,GOA,PCOD,95.76658072,56648.25912
21-May-11,140,2011,GOA,PCOD,170.3981527,56818.65727
28-May-11,147,2011,GOA,PCOD,149.3739136,56968.03118
4-Jun-11,153,2011,GOA,PCOD,77.93433535,57045.96552
11-Jun-11,160,2011,GOA,PCOD,58.60097042,57104.56649
18-Jun-11,167,2011,GOA,PCOD,501.8095938,57606.37608
25-Jun-11,174,2011,GOA,PCOD,233.8446981,57840.22078
2-Jul-11,181,2011,GOA,PCOD,123.391019,57963.6118
9-Jul-11,188,2011,GOA,PCOD,500.0188579,58463.63066
16-Jul-11,195,2011,GOA,PCOD,124.0977682,58587.72843
23-Jul-11,202,2011,GOA,PCOD,106.0112188,58693.73965
30-Jul-11,209,2011,GOA,PCOD,56.76452298,58750.50417
6-Aug-11,215,2011,GOA,PCOD,243.7648497,58994.26902
