AKFIN_YEAR,FMP_AREA,ADFG_I_HARVEST_CODE,FMP_GEAR,CATCH_MT
1997,GOA,80,JIG,1326.97940962215
1997,GOA,80,POT,7367.81452784196
1998,GOA,80,POT,9183.43144539064
1998,GOA,80,JIG,1320.23675714023
1999,GOA,80,JIG,1518.35915635424
1999,GOA,80,POT,12409.7545973868
2000,GOA,80,JIG,1644.16575721371
2000,GOA,80,HAL,0.321143488543614
2000,GOA,80,POT,10399.4290177636
2001,GOA,80,POT,7828.9316717333
2001,GOA,80,JIG,2082.87180296668
2002,GOA,80,POT,10577.6028725106
2002,GOA,80,HAL,0.254011798848056
2002,GOA,80,JIG,1714.09883417656
