YEAR,LENGTH,TOTAL
1984,6,169460
1984,7,1635624
1984,8,3639243
1984,9,4222384
1984,10,2369639
1984,11,971906
1984,12,149524
1984,13,74762
1984,14,13745
1984,16,174379
1984,17,61006
1984,18,139840
1984,19,259854
1984,20,310999
1984,21,386092
1984,22,593197
1984,23,501533
1984,24,1144656
1984,25,1049867
1984,26,1658601
1984,27,1788238
1984,28,2455335
1984,29,3305570
1984,30,2516816
1984,31,2645168
1984,32,3065144
1984,33,3539674
1984,34,3042278
1984,35,4076743
1984,36,2921002
1984,37,3131966
1984,38,3903024
1984,39,3768397
1984,40,6677245
1984,41,7170001
1984,42,6029141
1984,43,7350101
1984,44,6999702
1984,45,7520887
1984,46,8452837
1984,47,7971408
1984,48,8735716
1984,49,11184711
1984,50,12800641
1984,51,14745102
1984,52,12521182
1984,53,12266987
1984,54,12488691
1984,55,12304317
1984,56,9794000
1984,57,10836102
1984,58,9885834
1984,59,8411284
1984,60,8081049
1984,61,6687961
1984,62,4803420
1984,63,6030362
1984,64,3957466
1984,65,3785033
1984,66,2967979
1984,67,2505100
1984,68,2379910
1984,69,2360194
1984,70,1466423
1984,71,978307
1984,72,1321288
1984,73,1438390
1984,74,752934
1984,75,1132331
1984,76,1180790
1984,77,1064664
1984,78,548917
1984,79,1486834
1984,80,1692688
1984,81,735810
1984,82,827119
1984,83,443558
1984,84,528248
1984,85,482986
1984,86,357646
1984,87,398243
1984,88,301801
1984,89,204196
1984,90,250452
1984,91,114998
1984,92,158853
1984,93,51181
1984,94,33326
1984,95,117456
1984,96,24115
1984,97,24506
1984,98,36144
1984,99,2912
1984,100,9109
1984,101,13724
1984,102,2818
1984,130,10739
1987,8,168833
1987,9,351736
1987,10,661264
1987,11,351736
1987,12,239180
1987,13,19980
1987,14,10086
1987,15,51838
1987,16,125242
1987,17,266183
1987,18,426631
1987,19,457712
1987,20,697527
1987,21,447290
1987,22,607193
1987,23,575976
1987,24,689834
1987,25,442816
1987,26,181238
1987,27,354310
1987,28,469556
1987,29,802661
1987,30,1624068
1987,31,2298024
1987,32,2776474
1987,33,2875324
1987,34,4675097
1987,35,6556796
1987,36,6343911
1987,37,6793693
1987,38,7515537
1987,39,7528039
1987,40,7980689
1987,41,7282337
1987,42,5124204
1987,43,4854206
1987,44,5703251
1987,45,3118439
1987,46,3411375
1987,47,3771181
1987,48,5539688
1987,49,5676935
1987,50,6852044
1987,51,8689292
1987,52,8690749
1987,53,8874634
1987,54,8280516
1987,55,8841041
1987,56,7648669
1987,57,6527755
1987,58,7359350
1987,59,6476967
1987,60,6712271
1987,61,5330500
1987,62,5170251
1987,63,4895064
1987,64,5353662
1987,65,4297646
1987,66,3433320
1987,67,3440343
1987,68,2595094
1987,69,2483816
1987,70,1774370
1987,71,1757586
1987,72,1583297
1987,73,1061047
1987,74,1283043
1987,75,913419
1987,76,819227
1987,77,424973
1987,78,662051
1987,79,588969
1987,80,320760
1987,81,256275
1987,82,170784
1987,83,276021
1987,84,176889
1987,85,288983
1987,86,156730
1987,87,83348
1987,88,79396
1987,89,104401
1987,90,22972
1987,91,25102
1987,92,47742
1987,93,27947
1987,94,46383
1987,95,29218
1987,96,55215
1987,97,6154
1987,98,10454
1987,99,24104
1987,100,9760
1987,101,18824
1987,102,6543
1987,103,2020
1987,105,17812
1987,109,2020
1987,110,2409
1990,6,406370
1990,7,1190710
1990,8,1209597
1990,9,2753158
1990,10,1244850
1990,12,24686
1990,16,94547
1990,17,172986
1990,18,185491
1990,19,519581
1990,20,931225
1990,21,1124371
1990,22,922665
1990,23,1511736
1990,24,1270121
1990,25,842792
1990,26,334165
1990,27,787026
1990,28,327800
1990,29,245129
1990,30,401074
1990,31,898393
1990,32,777730
1990,33,1118566
1990,34,1362019
1990,35,1580536
1990,36,1231417
1990,37,1470890
1990,38,2321371
1990,39,2390186
1990,40,2410538
1990,41,2742203
1990,42,3614197
1990,43,2476755
1990,44,3899083
1990,45,3904846
1990,46,4046818
1990,47,5669701
1990,48,7704409
1990,49,8630477
1990,50,6900068
1990,51,6374193
1990,52,6447736
1990,53,6014169
1990,54,7261373
1990,55,5649091
1990,56,8805186
1990,57,6797480
1990,58,6807679
1990,59,7056810
1990,60,6794997
1990,61,7537499
1990,62,5445052
1990,63,4901666
1990,64,5030461
1990,65,4793652
1990,66,4177976
1990,67,3146114
1990,68,2557650
1990,69,2324894
1990,70,3010619
1990,71,2073765
1990,72,2133441
1990,73,1591966
1990,74,1368713
1990,75,895067
1990,76,877469
1990,77,738824
1990,78,637489
1990,79,628390
1990,80,561742
1990,81,506668
1990,82,499116
1990,83,404666
1990,84,525908
1990,85,258213
1990,86,239984
1990,87,177080
1990,88,241112
1990,89,358528
1990,90,199804
1990,91,176463
1990,92,66539
1990,93,52731
1990,94,132962
1990,95,35750
