TONS,ZONE,GEAR,TYPE,YEAR,MONTH,SPECIES_GROUP
8.2,SE,HAL,R,1991,10,PCOD
74.85,CG,TRW,D,1991,9,PCOD
33.69,SE,HAL,R,1991,2,PCOD
122.71,CG,TRW,D,1991,4,PCOD
6.32,WG,HAL,D,1991,6,PCOD
17.04,WG,HAL,D,1991,1,PCOD
3.13,WG,TRW,D,1991,8,PCOD
57.65,WG,TRW,R,1991,8,PCOD
230.03,WG,POT,R,1991,2,PCOD
2,CG,HAL,D,1991,9,PCOD
2.74,CG,JIG,R,1991,2,PCOD
20.77,WG,POT,R,1991,10,PCOD
437.32,WG,POT,R,1991,3,PCOD
0.11,WY,TRW,D,1991,10,PCOD
96.16,WG,POT,R,1991,1,PCOD
8.84,CG,JIG,R,1991,12,PCOD
0.18,WG,POT,D,1991,3,PCOD
2.12,WG,HAL,R,1992,9,PCOD
7.77,CG,POT,D,1992,4,PCOD
496.7,CG,TRW,D,1992,3,PCOD
122.75,CG,TRW,D,1992,2,PCOD
1782.58,CG,TRW,R,1992,2,PCOD
15956.87,CG,TRW,R,1992,3,PCOD
1278.52,CG,POT,R,1992,4,PCOD
31.21,WG,HAL,D,1992,6,PCOD
2.6,WG,HAL,D,1992,5,PCOD
868.43,CG,HAL,R,1992,4,PCOD
18.18,WG,HAL,D,1992,1,PCOD
212.87,CG,TRW,R,1992,5,PCOD
6.68,WG,JIG,R,1992,3,PCOD
0.25,WY,HAL,D,1992,7,PCOD
174.91,CG,POT,R,1992,9,PCOD
6.65,SE,HAL,R,1992,3,PCOD
0.1,SE,JIG,R,1992,9,PCOD
1.19,WG,HAL,D,1992,7,PCOD
5.59,WG,TRW,D,1992,8,PCOD
23.42,CG,OTH,R,1992,4,PCOD
23.29,SEI,HAL,R,1992,10,PCOD
0.05,SEI,HAL,D,1992,3,PCOD
0.03,CG,HAL,D,1992,7,PCOD
16.52,PWSI,HAL,R,1992,4,PCOD
0.89,PWSI,HAL,R,1992,5,PCOD
2.28,PWSI,HAL,D,1992,5,PCOD
2.21,WY,POT,D,1992,2,PCOD
5.45,SE,HAL,R,1993,5,PCOD
321.26,CG,TRW,D,1993,4,PCOD
35.55,PWSI,HAL,R,1993,4,PCOD
1.67,SEI,JIG,R,1993,4,PCOD
25.25,SEI,HAL,R,1993,12,PCOD
138.59,CG,TRW,D,1993,6,PCOD
5893.84,WG,TRW,R,1993,2,PCOD
20.09,SEI,HAL,R,1993,2,PCOD
133.41,CG,TRW,R,1993,12,PCOD
2.37,SE,HAL,R,1993,3,PCOD
1.29,SE,HAL,D,1993,9,PCOD
0.07,WG,HAL,D,1993,9,PCOD
19.03,SEI,HAL,R,1993,4,PCOD
0.52,SEI,HAL,D,1993,2,PCOD
106.87,CG,TRW,D,1993,1,PCOD
0.52,SEI,HAL,D,1993,6,PCOD
276.91,WY,POT,R,1993,4,PCOD
1336.28,WG,HAL,R,1993,1,PCOD
18.24,WY,POT,R,1993,6,PCOD
21.16,WG,HAL,R,1993,5,PCOD
0.04,WY,HAL,R,1993,1,PCOD
1.45,PWSI,HAL,R,1993,1,PCOD
5.75,WG,POT,D,1993,3,PCOD
24.51,PWSI,POT,R,1993,1,PCOD
12988.53,CG,TRW,R,1994,3,PCOD
418.47,CG,TRW,D,1994,8,PCOD
201.75,CG,TRW,R,1994,4,PCOD
11.52,CG,TRW,D,1994,9,PCOD
2.2,WG,HAL,D,1994,5,PCOD
899.5,CG,HAL,R,1994,2,PCOD
7.09,SE,HAL,D,1994,5,PCOD
5.05,SE,HAL,R,1994,9,PCOD
21.16,WG,TRW,D,1994,10,PCOD
0.94,PWSI,HAL,D,1994,2,PCOD
31.59,WY,POT,R,1994,5,PCOD
23.75,SEI,HAL,R,1994,9,PCOD
0.62,SEI,HAL,R,1994,11,PCOD
