TONS,MONTH,SEASON,QUARTER,TRIMESTER,GEAR,YEAR,AREA,WED,STATE
3334.55,3,2,1,1,TRW,1991,620,1991-03-24T09:00:00Z,NA
19.96,9,4,3,3,TRW,1991,630,1991-09-08T08:00:00Z,NA
446.49,3,2,1,1,TRW,1991,620,1991-03-10T09:00:00Z,NA
820.79,4,2,2,1,TRW,1991,630,1991-04-28T08:00:00Z,NA
73.84,3,2,1,1,TRW,1991,610,1991-03-17T09:00:00Z,NA
337.18,2,1,1,1,POT,1991,630,1991-02-24T09:00:00Z,NA
0.4,6,3,2,2,TRW,1991,630,1991-06-23T08:00:00Z,NA
2.08,4,2,2,1,HAL,1991,620,1991-04-07T09:00:00Z,NA
35.6,9,4,3,3,TRW,1991,630,1991-09-15T08:00:00Z,NA
0.4,11,5,4,3,JIG,1991,630,1991-11-03T09:00:00Z,NA
8.56,2,1,1,1,HAL,1991,650,1991-02-17T09:00:00Z,NA
0.98,1,1,1,1,HAL,1991,650,1991-01-13T09:00:00Z,NA
29.41,12,5,4,3,POT,1991,621,1991-12-08T09:00:00Z,NA
262.93,3,2,1,1,HAL,1991,610,1991-03-10T09:00:00Z,NA
3.07,8,3,3,2,HAL,1991,610,1991-08-25T08:00:00Z,NA
158.63,3,2,1,1,POT,1991,621,1991-03-03T09:00:00Z,NA
0.18,8,3,3,2,TRW,1991,620,1991-08-04T08:00:00Z,NA
185.83,2,1,1,1,HAL,1991,610,1991-02-24T09:00:00Z,NA
217.73,4,2,2,1,POT,1991,621,1991-04-14T08:00:00Z,NA
11.7,2,1,1,1,HAL,1991,610,1991-02-03T09:00:00Z,NA
2.04,5,3,2,2,TRW,1991,630,1991-05-05T08:00:00Z,NA
13.7,1,1,1,1,HAL,1991,610,1991-01-27T09:00:00Z,NA
6.31,8,3,3,2,TRW,1991,630,1991-08-04T08:00:00Z,NA
1.21,3,2,1,1,HAL,1991,650,1991-03-03T09:00:00Z,NA
0.4,10,4,4,3,JIG,1991,640,1991-10-20T08:00:00Z,NA
2.52,9,4,3,3,TRW,1991,620,1991-09-01T08:00:00Z,NA
2.04,7,3,3,2,JIG,1991,630,1991-07-28T08:00:00Z,NA
75.71,10,4,4,3,TRW,1991,610,1991-10-27T08:00:00Z,NA
124.69,2,1,1,1,POT,1991,630,1991-02-10T09:00:00Z,NA
32.58,2,1,1,1,HAL,1991,630,1991-02-10T09:00:00Z,NA
184.12,2,1,1,1,POT,1991,630,1991-02-03T09:00:00Z,NA
12.77,3,2,1,1,HAL,1991,621,1991-03-03T09:00:00Z,NA
0.7,2,1,1,1,POT,1991,621,1991-02-03T09:00:00Z,NA
49.87,4,2,2,1,HAL,1991,621,1991-04-21T08:00:00Z,NA
121.88,4,2,2,1,HAL,1991,621,1991-04-14T08:00:00Z,NA
0.14,5,3,2,2,HAL,1991,630,1991-05-19T08:00:00Z,NA
0.82,4,2,2,1,TRW,1991,621,1991-04-14T08:00:00Z,NA
29.91,3,2,1,1,TRW,1991,620,1991-03-24T09:00:00Z,NA
89.14,4,2,2,1,TRW,1991,621,1991-04-14T08:00:00Z,NA
24.14,2,1,1,1,HAL,1991,620,1991-02-17T09:00:00Z,NA
43.46,3,2,1,1,HAL,1991,620,1991-03-03T09:00:00Z,NA
2.46,5,3,2,2,TRW,1991,620,1991-05-05T08:00:00Z,NA
3.52,2,1,1,1,HAL,1991,621,1991-02-17T09:00:00Z,NA
7.12,1,1,1,1,HAL,1991,621,1991-01-20T09:00:00Z,NA
79.27,1,1,1,1,POT,1991,630,1991-01-20T09:00:00Z,NA
4.41,6,3,2,2,HAL,1991,610,1991-06-30T08:00:00Z,NA
85.09,9,4,3,3,TRW,1991,610,1991-09-29T08:00:00Z,NA
3.9,11,5,4,3,POT,1991,610,1991-11-10T09:00:00Z,NA
3.56,10,4,4,3,TRW,1991,610,1991-10-20T08:00:00Z,NA
0.8,9,4,3,3,TRW,1991,640,1991-09-08T08:00:00Z,NA
17.92,1,1,1,1,POT,1991,621,1991-01-06T09:00:00Z,NA
56.72,1,1,1,1,HAL,1991,610,1991-01-06T09:00:00Z,NA
0.52,10,4,4,3,TRW,1991,640,1991-10-13T08:00:00Z,NA
6.49,9,4,3,3,TRW,1991,640,1991-09-22T08:00:00Z,NA
0.6,8,3,3,2,TRW,1991,610,1991-08-11T08:00:00Z,NA
28.69,7,3,3,2,TRW,1991,610,1991-07-21T08:00:00Z,NA
