survey_name,district,section,station,haul,sq_nmi,total_weight_mt
CRAB2023,1,1,255A,304,18.78,83
CRAB2023,1,1,255B,309,18.63,12
CRAB2023,1,1,256,302,23.95,126
CRAB2023,1,1,257,301,23.95,116
CRAB2023,1,1,283A,306,19.8,304
CRAB2023,1,1,284,299,24.01,163
CRAB2023,1,1,285,300,24.01,41
CRAB2023,1,1,313,297,25,35
CRAB2023,1,1,314,298,24.06,46
CRAB2023,1,1,420,113,24.28,193
CRAB2023,1,1,421,112,24.28,143
CRAB2023,1,1,444,111,24.34,182
CRAB2023,1,1,CHA,6,1.6,2
CRAB2023,1,1,CHB,7,2.3,4
CRAB2023,1,1,CHF,5,3.7,24
CRAB2023,1,1,CHG,4,9.55,28
CRAB2023,1,1,CHJ,1,3.3,24
CRAB2023,1,1,CHK,2,2.5,11
CRAB2023,1,1,CHL,3,4.1,5
CRAB2023,1,1,KZD,325,6.9,8
CRAB2023,1,1,KZG,322,6.19,20
CRAB2023,1,1,KZJ,321,6.25,9
CRAB2023,1,1,KZK,319,6.25,23
CRAB2023,1,1,KZO,316,6.25,3
CRAB2023,1,1,KZR,318,3.14,7
CRAB2023,1,1,KZS,317,0.9,2
CRAB2023,1,1,MOEX,314,10.56,6
CRAB2023,1,1,MOGX,307,19.2,33
CRAB2023,1,1,MOLA,303,8.17,17
CRAB2023,1,1,MOLB,305,13.05,342
CRAB2023,1,1,MONX,315,22,33
CRAB2023,1,1,MOPA,313,8.1,8
CRAB2023,1,1,MOPB,310,5.8,4
CRAB2023,1,1,MOXA,311,3.8,3
CRAB2023,1,1,MOXB,312,8.6,9
CRAB2023,1,2,486A,19,7.29,51
CRAB2023,1,2,486B,22,8.56,47
CRAB2023,1,2,510C,28,6.27,8
CRAB2023,1,2,510D,18,11.09,28
CRAB2023,1,2,511A,24,12.25,69
CRAB2023,1,2,511B,23,12.5,646
CRAB2023,1,2,533A,30,12.5,53
CRAB2023,1,2,533B,31,12.5,9
CRAB2023,1,2,534BX,27,6.07,14
CRAB2023,1,2,534DX,34,8.46,115
CRAB2023,1,2,535A,26,6.14,30
CRAB2023,1,2,535B,25,6.25,42
CRAB2023,1,2,535C,33,6.14,12
CRAB2023,1,2,535D,32,6.25,30
CRAB2023,1,2,561,37,25,37
CRAB2023,1,2,619,44,25,9
CRAB2023,1,2,654,58,25,89
CRAB2023,1,2,KLA,47,6.1,23
CRAB2023,1,2,KLB,48,2.7,11
CRAB2023,1,2,KLC,49,5.7,23
CRAB2023,1,2,KLE,54,2.4,15
CRAB2023,1,2,KLF,53,4.4,6
CRAB2023,1,2,KLG,52,4.8,10
CRAB2023,1,2,KLH,51,4.9,17
CRAB2023,1,2,KLI,50,6.25,76
CRAB2023,1,2,KLL,29,6.25,25
CRAB2023,1,2,UGAA,10,4.67,10
CRAB2023,1,2,UGAC,8,0.93,0
CRAB2023,1,2,UGAD,9,1.29,0
CRAB2023,1,2,UGB,11,1.7,5
CRAB2023,1,2,UGC,12,5.1,21
CRAB2023,1,2,UGD,13,3.2,68
CRAB2023,1,2,UGE,14,3.7,5
CRAB2023,1,2,UGF,15,4.6,10
CRAB2023,1,2,UGG,21,3.2,0
CRAB2023,1,2,UGI,16,6.5,6
CRAB2023,1,2,UGJ,20,6.11,8
CRAB2023,1,2,UGM,17,4.9,5
CRAB2023,1,3,585X,41,22.98,55
CRAB2023,1,3,586,42,25,18
CRAB2023,1,3,614,64,17.84,60
CRAB2023,1,3,618A,43,12.5,35
CRAB2023,1,3,688,75,25,33
CRAB2023,1,3,726,76,25,444
CRAB2023,1,3,727,77,25,63
CRAB2023,1,3,728,78,25,0
CRAB2023,1,3,759,110,25,3
CRAB2023,1,3,761,80,25,4
CRAB2023,1,3,THA,63,4.4,1
CRAB2023,1,3,THDX,68,8.33,56
CRAB2023,1,3,THF,70,6.5,31
CRAB2023,1,3,THG,71,5.82,18
CRAB2023,1,3,THH,72,5.94,5
CRAB2023,1,3,THI,69,6.3,15
CRAB2023,1,3,THJ,73,5.2,16
CRAB2023,1,3,THK,74,4.8,5
CRAB2023,1,3,THL,57,2.7,50
CRAB2023,1,3,THM,56,3.1,18
CRAB2023,1,3,THN,55,1.5,28
CRAB2023,1,4,645B,85,10,81
CRAB2023,1,4,646A,84,7.9,5
CRAB2023,1,4,646B,83,4.8,6
CRAB2023,1,4,646C,86,8.13,19
CRAB2023,1,4,646D,82,10.9,12
CRAB2023,1,4,682B,87,6.34,11
CRAB2023,1,4,683A,88,6.48,4
CRAB2023,1,4,683D,96,2.7,16
CRAB2023,1,4,684A,94,6.34,26
CRAB2023,1,4,684B,93,3,7
CRAB2023,1,4,684C,95,2.5,8
CRAB2023,1,4,ALA,92,0.9,4
CRAB2023,1,4,ALBX,98,3.73,12
CRAB2023,1,4,ALCA,91,2.37,57
CRAB2023,1,4,ALD,97,3.8,38
CRAB2023,1,4,ALF,99,6.25,11
CRAB2023,1,4,ALG,90,5.8,31
CRAB2023,1,4,ALH,100,4.7,25
CRAB2023,1,4,ALI,101,4.85,101
CRAB2023,1,4,ALJ,103,4.4,42
CRAB2023,1,4,ALK,109,2.9,18
CRAB2023,1,4,ALL,102,2.4,14
CRAB2023,1,4,ALM,108,4.7,42
CRAB2023,1,4,ALO,107,4.9,6
CRAB2023,1,4,ALP,106,5.37,5
CRAB2023,1,4,ALQ,105,4.2,6
CRAB2023,1,4,ALR,104,3.9,21
CRAB2023,1,5,KUD,296,7.9,19
CRAB2023,1,5,KUF,291,3.29,3
CRAB2023,1,5,KUG,292,4.5,33
CRAB2023,1,5,KUI,290,1.87,4
CRAB2023,1,5,KUJ,289,4.95,6
CRAB2023,1,5,KUK,288,4.1,7
CRAB2023,1,5,KULA,286,0.61,1
CRAB2023,1,5,KULB,285,0.79,0
CRAB2023,1,5,KUM,287,3.06,2
CRAB2023,1,5,KUNX,283,3.13,11
CRAB2023,1,5,KUP,282,3.88,11
CRAB2023,1,5,KUQ,278,6,6
CRAB2023,1,5,KUS,281,3.54,4
CRAB2023,1,5,KUU,276,3.98,6
CRAB2023,1,5,KUV,275,1.2,1
CRAB2023,1,5,KUW,274,1.51,3
CRAB2023,1,5,KUXA,279,1.62,1
CRAB2023,1,5,KUXB,280,1.19,1
CRAB2023,1,5,MAA,294,3.07,8
CRAB2023,1,5,PMA,293,4.4,12
CRAB2023,1,5,UYBX,267,6.26,2
CRAB2023,1,5,UYEX,268,8.71,33
CRAB2023,1,5,UYKX,269,4.04,1
CRAB2023,1,5,UYMX,270,6.07,4
CRAB2023,1,5,UYQX,271,2.24,3
CRAB2023,1,5,UYSS,273,1.76,8
CRAB2023,1,5,UYT,272,0.83,2
CRAB2023,1,6,117,257,28.5,2
CRAB2023,1,6,118,258,25,20
CRAB2023,1,6,119,260,25,73
CRAB2023,1,6,144,256,17.7,11
CRAB2023,1,6,171A,263,3.33,9
CRAB2023,1,6,171C,264,2.23,6
CRAB2023,1,6,171D,265,8.34,7
CRAB2023,1,6,2,254,24.95,436
CRAB2023,1,6,31,255,24.4,208
CRAB2023,1,6,60,252,25,14
CRAB2023,1,6,61,253,25,245
CRAB2023,1,6,90,259,23.4,26
CRAB2023,1,6,91,251,25,45
CRAB2023,2,1,156A,177,12.88,51
CRAB2023,2,1,157A,176,6.13,32
CRAB2023,2,1,87D,157,6.5,13
CRAB2023,2,1,BEBX,178,4.41,11
CRAB2023,2,1,BECX,179,7.48,22
CRAB2023,2,1,BEE,180,6.25,18
CRAB2023,2,1,BEF,181,4.22,1
CRAB2023,2,1,BEG,175,5.92,9
CRAB2023,2,1,COE,171,5.89,6
CRAB2023,2,1,COF,172,3.35,2
CRAB2023,2,1,COGA,168,2.86,4
CRAB2023,2,1,COM,174,5.4,3
CRAB2023,2,1,MOD,163,4.7,17
CRAB2023,2,1,MOF,164,5.82,21
CRAB2023,2,1,MOG,165,5.12,21
CRAB2023,2,1,MOH,166,4.41,5
CRAB2023,2,1,MOI,167,4.94,21
CRAB2023,2,1,MOK,161,6.25,33
CRAB2023,2,1,MOL,162,6.25,78
CRAB2023,2,1,MOOX,159,12.76,29
CRAB2023,2,1,MORX,156,9.82,78
CRAB2023,2,1,MOSX,160,12.45,25
CRAB2023,2,2,228,204,3.73,2
CRAB2023,2,2,245,205,6.13,14
CRAB2023,2,2,278,206,20.83,325
CRAB2023,2,2,311A,227,4.51,12
CRAB2023,2,2,311B,222,5.66,14
CRAB2023,2,2,311C,221,4.71,2
CRAB2023,2,2,329B,219,6.25,89
CRAB2023,2,2,329C,229,6.25,10
CRAB2023,2,2,332B,210,12.5,60
CRAB2023,2,2,334,212,25,25
CRAB2023,2,2,335,213,25,34
CRAB2023,2,2,348,220,25,10
CRAB2023,2,2,354,214,25,13
CRAB2023,2,2,368A,230,12.81,19
CRAB2023,2,2,371,218,22.17,6
CRAB2023,2,2,373B,216,5.98,16
CRAB2023,2,2,393,217,12.24,97
CRAB2023,2,2,BAA,225,3.5,7
CRAB2023,2,2,BAC,226,4.92,9
CRAB2023,2,2,BAD,224,2.42,15
CRAB2023,2,2,BAE,228,3.71,3
CRAB2023,2,2,BAF,223,2.75,6
CRAB2023,2,2,BVA,209,3.93,60
CRAB2023,2,2,BVC,207,5.5,15
CRAB2023,2,2,PAEX,202,10.92,25
CRAB2023,2,2,PAIX,201,11.17,23
CRAB2023,2,2,PALX,200,11.62,5
CRAB2023,2,2,PAOB,199,5.71,48
CRAB2023,2,2,PAP,198,6.06,21
CRAB2023,2,2,PARA,196,5.56,76
CRAB2023,2,2,PARB,197,6.05,11
CRAB2023,2,2,PAU,195,6.25,31
CRAB2023,2,2,PAV,192,6,13
CRAB2023,2,2,VOA,194,6.43,43
CRAB2023,2,2,VOBX,193,12.69,75
CRAB2023,2,2,VOD,191,6.06,57
CRAB2023,2,2,VOFB,188,4.53,19
CRAB2023,2,2,VOG,189,6.45,45
CRAB2023,2,2,VOI,190,6.18,65
CRAB2023,2,2,VOLX,182,5.15,49
CRAB2023,2,2,VOM,187,8.02,22
CRAB2023,2,2,VON,186,6.45,273
CRAB2023,2,2,VOPX,183,8.67,65
CRAB2023,2,2,VOQ,184,4.64,31
CRAB2023,2,2,VOR,185,6.16,67
CRAB2023,3,2,UNC,142,6.59,19
CRAB2023,3,2,UNE,143,5.22,4
CRAB2023,3,2,UNF,147,6.25,23
CRAB2023,3,2,UNG,146,6.25,8
CRAB2023,3,2,UNI,148,5.75,25
CRAB2023,3,3,MKB,149,4.61,5
CRAB2023,3,3,MKC,150,5.39,41
CRAB2023,3,3,MKE,151,8.48,35
CRAB2023,3,3,MKF,152,6.09,6
CRAB2023,3,3,MKK,153,10.41,9
CRAB2023,3,3,MKN,154,7.63,5
CRAB2023,3,3,MKP,155,3.24,6
CRAB2023,6,1,4000X,233,1.62,3
CRAB2023,6,1,4000Y,234,4.6,11
CRAB2023,6,1,4007,232,10.86,32
CRAB2023,6,1,4008,231,12.27,64
CRAB2023,6,1,4915,235,14.88,47
CRAB2023,6,2,4024,236,16.79,25
CRAB2023,6,2,4025,245,12.73,84
CRAB2023,6,2,4026,246,12.75,5
CRAB2023,6,2,4035,238,17.28,239
CRAB2023,6,2,4036,237,18.91,357
CRAB2023,6,2,4037,244,12.73,28
CRAB2023,6,2,4038B,248,12.75,173
CRAB2023,6,2,4048,243,5.13,4
CRAB2023,6,2,4049,239,16.67,198
CRAB2023,6,2,4063,242,9.99,292
CRAB2023,6,2,4064,139,11.25,7
CRAB2023,6,2,4065,137,23.33,79
CRAB2023,6,3,4256,130,6.55,33
CRAB2023,6,3,4262,126,6.25,20
CRAB2023,6,3,4264,121,5.75,36
CRAB2023,6,3,4265,120,1.93,19
CRAB2023,6,3,4266,131,5.72,17
CRAB2023,6,3,4270,123,4.99,18
CRAB2023,6,3,4271,122,2.91,14
CRAB2023,6,3,4272,132,4.64,15
CRAB2023,6,3,4274,128,6.25,6
CRAB2023,6,3,4278,127,6.25,15
CRAB2023,6,3,4282,134,6.25,2
CRAB2023,6,3,4287,136,8.3,4
CRAB2023,6,3,4312,125,6.39,81
CRAB2023,6,3,4964,124,2.79,28
CRAB2023,6,4,4290,119,6.2,3
CRAB2023,6,4,4296,118,3,23
CRAB2023,6,4,4298,116,5.54,42
CRAB2023,6,4,4301,117,6.24,6
CRAB2023,6,4,4302,115,5.31,16
CRAB2023,6,4,4308,114,5,46
