race_code,common_name,year,haul,haul_date,vessel,station,area_km2,district,section,start_latitude,start_longitude,avg_depth_fm,tow_distance_km,net_width_km,area_swept_km2,total_weight_kg,total_number_caught
21720,Pacific cod,2023,23010001,7/6/2023,R/V Resolution,CHJ,11.3,1,1,57.7213,-152.3622,54,1.1,0.0122,0.01287,27.14,10
21720,Pacific cod,2023,23010002,7/6/2023,R/V Resolution,CHK,8.6,1,1,57.7278,-152.294,74,1.5,0.0122,0.01806,22.93,9
21720,Pacific cod,2023,23010003,7/7/2023,R/V Resolution,CHL,14.1,1,1,57.7308,-152.2437,89,1.9,0.0122,0.02281,8.49,2
21720,Pacific cod,2023,23010004,7/7/2023,R/V Resolution,CHG,32.8,1,1,57.6948,-152.1513,73,1.6,0.0122,0.0201,16.93,6
21720,Pacific cod,2023,23010005,7/7/2023,R/V Resolution,CHF,12.7,1,1,57.703,-152.3097,78,1.7,0.0122,0.021,38.9,11
21720,Pacific cod,2023,23010006,7/7/2023,R/V Resolution,CHA,5.5,1,1,57.6182,-152.4315,27,1.9,0.0122,0.02348,7.53,2
21720,Pacific cod,2023,23010007,7/7/2023,R/V Resolution,CHB,7.9,1,1,57.6358,-152.4058,37,2,0.0122,0.02393,11.4,3
21721,Juvenile Cod,2023,23010008,7/9/2023,R/V Resolution,UGAC,3.2,1,2,57.4663,-152.972,22,1.1,0.0122,0.0131,0.27,2
21720,Pacific cod,2023,23010009,7/9/2023,R/V Resolution,UGAD,4.4,1,2,57.4742,-152.9113,36,1.9,0.0122,0.02303,0.87,2
21721,Juvenile Cod,2023,23010009,7/9/2023,R/V Resolution,UGAD,4.4,1,2,57.4742,-152.9113,36,1.9,0.0122,0.02303,0.11,1
21720,Pacific cod,2023,23010010,7/9/2023,R/V Resolution,UGAA,16,1,2,57.4973,-152.8567,43,1.9,0.0122,0.02348,14.4,3
21720,Pacific cod,2023,23010011,7/9/2023,R/V Resolution,UGB,5.8,1,2,57.4697,-152.754,49,1,0.0122,0.01242,11.62,8
21720,Pacific cod,2023,23010012,7/9/2023,R/V Resolution,UGC,17.5,1,2,57.4607,-152.7072,50,2,0.0122,0.02439,28.65,11
