joinkey,length,sex,gear,month,quarter
23g001ci,66,1,91,1,1
23g001ci,52,2,91,1,1
23g001ci,54,1,91,1,1
23g001ci,68,2,91,1,1
23g001ci,56,2,91,1,1
23g001ci,51,2,91,1,1
23g001ci,59,1,91,1,1
23g001ci,67,1,91,1,1
23g001ci,59,2,91,1,1
23g001ci,43,2,91,1,1
23g001ci,78,2,91,1,1
23g001ci,65,2,91,1,1
23g001ci,71,1,91,1,1
23g001ci,55,1,91,1,1
23g001ci,47,1,91,1,1
23g001ci,47,2,91,1,1
23g001ci,56,1,91,1,1
23g001ci,60,2,91,1,1
23g001ci,56,1,91,1,1
23g001ci,65,1,91,1,1
23g001ci,61,1,91,1,1
23g001ci,65,1,91,1,1
23g001ci,60,2,91,1,1
23g001ci,65,1,91,1,1
23g001ci,54,1,91,1,1
23g001ci,71,9,91,1,1
23g001ci,62,9,91,1,1
23g001ci,54,9,91,1,1
23g001ci,86,9,91,1,1
23g001ci,72,9,91,1,1
23g001ci,64,9,91,1,1
23g001ci,76,9,91,1,1
23g001ci,52,9,91,1,1
23g001ci,63,9,91,1,1
23g001ci,50,9,91,1,1
23g001ci,65,9,91,1,1
23g001ci,44,9,91,1,1
23g001ci,63,9,91,1,1
23g001ci,66,9,91,1,1
23g001ci,50,9,91,1,1
23g001ci,52,9,91,1,1
23g001ci,74,9,91,1,1
23g001ci,79,9,91,1,1
23g001ci,65,9,91,1,1
23g001ci,51,9,91,1,1
23g001ci,58,9,91,1,1
23g001ci,55,9,91,1,1
23g001ci,60,9,91,1,1
23g001ci,47,9,91,1,1
23g001ci,51,9,91,1,1
23g002ci,56,1,91,1,1
23g002ci,55,2,91,1,1
23g002ci,75,2,91,1,1
23g002ci,74,2,91,1,1
23g002ci,59,2,91,1,1
23g002ci,72,2,91,1,1
23g002ci,72,2,91,1,1
23g002ci,50,2,91,1,1
23g002ci,75,2,91,1,1
23g002ci,66,2,91,1,1
23g002ci,77,2,91,1,1
23g002ci,64,2,91,1,1
23g002ci,70,1,91,1,1
23g002ci,59,1,91,1,1
23g002ci,62,2,91,1,1
23g002ci,67,2,91,1,1
23g002ci,81,2,91,1,1
23g002ci,70,2,91,1,1
23g002ci,78,2,91,1,1
23g002ci,48,1,91,1,1
23g002ci,73,2,91,1,1
23g002ci,58,1,91,1,1
23g002ci,60,1,91,1,1
23g002ci,82,2,91,1,1
23g002ci,73,2,91,1,1
23g002ci,56,2,91,1,1
23g002ci,68,9,91,1,1
23g002ci,51,9,91,1,1
23g002ci,79,9,91,1,1
23g002ci,57,9,91,1,1
23g002ci,69,9,91,1,1
23g002ci,87,9,91,1,1
23g002ci,79,9,91,1,1
23g002ci,76,9,91,1,1
23g002ci,62,9,91,1,1
23g002ci,64,9,91,1,1
23g002ci,89,9,91,1,1
23g002ci,61,9,91,1,1
23g002ci,68,9,91,1,1
23g002ci,79,9,91,1,1
23g002ci,50,9,91,1,1
23g002ci,85,9,91,1,1
23g002ci,77,9,91,1,1
23g002ci,62,9,91,1,1
23g002ci,82,9,91,1,1
23g002ci,52,9,91,1,1
23g002ci,74,9,91,1,1
23g002ci,65,9,91,1,1
23g002ci,49,9,91,1,1
23g002ci,73,9,91,1,1
23g002ci,73,9,91,1,1
23g003ci,79,2,91,1,1
23g003ci,70,2,91,1,1
23g003ci,71,2,91,1,1
23g003ci,78,2,91,1,1
23g003ci,73,2,91,1,1
23g003ci,69,2,91,1,1
23g003ci,78,2,91,1,1
23g003ci,73,2,91,1,1
23g003ci,72,2,91,1,1
23g003ci,73,2,91,1,1
23g003ci,72,2,91,1,1
23g003ci,60,2,91,1,1
23g003ci,85,2,91,1,1
23g003ci,55,2,91,1,1
23g003ci,62,2,91,1,1
23g003ci,80,2,91,1,1
23g003ci,69,2,91,1,1
23g003ci,66,1,91,1,1
23g003ci,62,1,91,1,1
23g003ci,66,2,91,1,1
23g003ci,82,2,91,1,1
23g003ci,55,1,91,1,1
23g003ci,61,1,91,1,1
23g003ci,70,2,91,1,1
23g003ci,62,1,91,1,1
23g003ci,61,9,91,1,1
23g003ci,51,9,91,1,1
23g003ci,64,9,91,1,1
23g003ci,49,9,91,1,1
23g003ci,74,9,91,1,1
23g003ci,57,9,91,1,1
23g003ci,76,9,91,1,1
23g003ci,65,9,91,1,1
23g003ci,67,9,91,1,1
23g003ci,66,9,91,1,1
23g003ci,69,9,91,1,1
23g003ci,77,9,91,1,1
23g003ci,48,9,91,1,1
23g003ci,67,9,91,1,1
23g003ci,71,9,91,1,1
23g003ci,56,9,91,1,1
23g003ci,61,9,91,1,1
23g003ci,63,9,91,1,1
23g003ci,45,9,91,1,1
23g003ci,65,9,91,1,1
23g003ci,77,9,91,1,1
23g003ci,53,9,91,1,1
23g003ci,70,9,91,1,1
23g003ci,78,9,91,1,1
23g003ci,78,9,91,1,1
23g004ci,75,2,91,1,1
23g004ci,72,1,91,1,1
23g004ci,81,2,91,1,1
23g004ci,56,2,91,1,1
23g004ci,79,2,91,1,1
23g004ci,71,2,91,1,1
23g004ci,62,2,91,1,1
23g004ci,79,1,91,1,1
23g004ci,79,2,91,1,1
23g004ci,77,2,91,1,1
23g004ci,61,2,91,1,1
23g004ci,54,2,91,1,1
23g004ci,80,2,91,1,1
23g004ci,77,1,91,1,1
23g004ci,74,2,91,1,1
23g004ci,73,2,91,1,1
23g004ci,79,2,91,1,1
23g004ci,73,1,91,1,1
23g004ci,72,2,91,1,1
23g004ci,50,2,91,1,1
23g004ci,73,1,91,1,1
23g004ci,83,2,91,1,1
23g004ci,68,1,91,1,1
23g004ci,46,2,91,1,1
23g004ci,69,2,91,1,1
23g004ci,59,9,91,1,1
23g004ci,68,9,91,1,1
23g004ci,61,9,91,1,1
23g004ci,56,9,91,1,1
23g004ci,78,9,91,1,1
23g004ci,66,9,91,1,1
23g004ci,74,9,91,1,1
23g004ci,60,9,91,1,1
23g004ci,77,9,91,1,1
23g004ci,63,9,91,1,1
23g004ci,71,9,91,1,1
23g004ci,77,9,91,1,1
23g004ci,70,9,91,1,1
23g004ci,56,9,91,1,1
23g004ci,55,9,91,1,1
23g004ci,67,9,91,1,1
23g004ci,60,9,91,1,1
23g004ci,76,9,91,1,1
23g004ci,66,9,91,1,1
23g004ci,51,9,91,1,1
23g004ci,77,9,91,1,1
23g004ci,55,9,91,1,1
23g004ci,60,9,91,1,1
23g004ci,68,9,91,1,1
23g004ci,61,9,91,1,1
23g005ci,65,2,91,1,1
23g005ci,75,1,91,1,1
23g005ci,61,1,91,1,1
23g005ci,62,2,91,1,1
23g005ci,65,1,91,1,1
23g005ci,53,2,91,1,1
23g005ci,62,1,91,1,1
23g005ci,52,2,91,1,1
23g005ci,65,2,91,1,1
23g005ci,72,2,91,1,1
23g005ci,89,2,91,1,1
23g005ci,61,2,91,1,1
23g005ci,53,2,91,1,1
23g005ci,57,2,91,1,1
23g005ci,46,2,91,1,1
23g005ci,58,2,91,1,1
23g005ci,81,2,91,1,1
23g005ci,80,2,91,1,1
23g005ci,56,2,91,1,1
23g005ci,51,2,91,1,1
23g005ci,82,2,91,1,1
23g005ci,64,1,91,1,1
23g005ci,50,2,91,1,1
23g005ci,50,1,91,1,1
23g005ci,80,2,91,1,1
23g005ci,63,9,91,1,1
23g005ci,54,2,91,1,1
23g005ci,50,9,91,1,1
23g005ci,76,9,91,1,1
23g005ci,52,2,91,1,1
23g005ci,62,9,91,1,1
23g005ci,69,9,91,1,1
23g005ci,69,9,91,1,1
23g005ci,56,9,91,1,1
23g005ci,71,9,91,1,1
