joinkey,gear,month,quarter
23g001ci,91,1,1
23g002ci,91,1,1
23g003ci,91,1,1
23g004ci,91,1,1
23g005ci,91,1,1
23g006ci,91,2,1
23g007ci,91,2,1
23g008ci,91,2,1
23g009ci,91,2,1
23g010ci,91,2,1
23g011ci,91,3,1
23g012ci,91,3,1
23g013ci,91,3,1
23g014ci,91,3,1
23g015ci,91,3,1
23g016ci,91,3,1
23g017ci,91,3,1
23g018ci,91,3,1
23g019ci,91,3,1
23g020ci,91,3,1
23g021ci,91,3,1
23g022ci,91,4,2
23g023ci,91,4,2
23g001ng,61,1,1
23g002ng,61,2,1
23g003ng,61,2,1
23g004ng,61,2,1
23g005ng,61,2,1
23g006ng,91,2,1
23g007ng,91,2,1
23g008ng,91,2,1
23g009ng,61,2,1
23g010ng,61,2,1
23g011ng,61,3,1
23g012ng,61,3,1
23g013ng,61,3,1
23g014ng,91,3,1
23g015ng,91,3,1
23g016ng,91,3,1
23g017ng,91,3,1
23g018ng,61,3,1
23g019ng,91,3,1
23g020ng,61,3,1
23g021ng,61,3,1
23g022ng,61,3,1
23g023ng,91,3,1
23g024ng,91,3,1
23g025ng,91,4,2
23g026ng,26,4,2
23g029ng,5,8,3
23g006pw,61,2,1
23g007pw,61,2,1
23g008pw,61,2,1
23g010pw,61,2,1
23g011pw,61,2,1
23g012pw,61,2,1
23g014pw,61,3,1
23g015pw,61,3,1
23g016pw,61,3,1
23g017pw,61,3,1
23g018pw,61,3,1
23g019pw,61,3,1
23g020pw,61,3,1
23g021pw,61,3,1
23g022pw,61,3,1
23g023pw,61,3,1
23g024pw,61,3,1
23g025pw,61,3,1
23g026pw,61,3,1
23g027pw,61,3,1
23g028pw,26,3,1
23g029pw,61,3,1
23g030pw,61,3,1
23g031pw,61,3,1
23g032pw,61,3,1
23g033pw,61,3,1
23g034pw,61,3,1
23g035pw,61,3,1
23g036pw,61,3,1
23g037pw,61,3,1
23g038pw,61,3,1
23g039pw,61,3,1
23g040pw,61,3,1
23g041pw,61,3,1
23g042pw,61,3,1
23g043pw,61,3,1
23g044pw,61,3,1
23g045pw,61,3,1
23g046pw,61,3,1
23g047pw,61,3,1
23g048pw,61,3,1
23g049pw,61,3,1
23g050pw,61,3,1
23g051pw,61,3,1
23g052pw,61,3,1
23g053pw,61,3,1
23g054pw,26,3,1
23g055pw,61,3,1
23g056pw,91,3,1
23g057pw,91,3,1
23g058pw,91,3,1
23g059pw,91,3,1
23g060pw,91,3,1
23g061pw,91,4,2
23g062pw,91,4,2
23g063pw,91,4,2
23g064pw,91,4,2
23g065pw,91,4,2
23g066pw,26,4,2
