year,cod_per_set,cod_se,cod_95percent_LCI,cod_95percent_UCI
2006,131.44,37.57,75.71,236.45
2007,8.83,3.16,4.39,18.85
2008,32.61,10.81,17.1,65.06
2009,33.25,16.76,10.1,87.82
2010,13.55,6.58,4.68,34.85
2011,36.11,13.36,17.08,76.24
2012,221.21,71.99,116.04,444.55
2013,8.58,3.17,3.98,18.05
2014,9.44,4.7,3.2,24.93
2015,1.29,1.17,0.17,10.34
2016,2.14,0.99,0.86,5.93
2017,85.75,25.98,47.92,156.35
2018,110.03,23.38,71.22,168.18
2019,2.39,1.28,0.71,6.43
2020,204.59,53.51,121.89,346.67
2021,22.4,5.65,13.8,37.55
2022,126.59,32.39,76.44,214.25
2023,34.78,8.74,20.79,57.99
