Year,Sum Apical F,SD[F],Total Exploitation
1977,0.012,0.003,0.009
1978,0.058,0.013,0.046
1979,0.077,0.018,0.049
1980,0.193,0.046,0.098
1981,0.124,0.027,0.091
1982,0.091,0.02,0.07
1983,0.116,0.025,0.08
1984,0.075,0.017,0.048
1985,0.065,0.016,0.026
1986,0.094,0.022,0.04
1987,0.066,0.016,0.047
1988,0.064,0.009,0.047
1989,0.079,0.012,0.059
1990,0.183,0.021,0.102
1991,0.213,0.024,0.114
1992,0.249,0.028,0.126
1993,0.186,0.02,0.093
1994,0.155,0.015,0.081
1995,0.231,0.021,0.124
1996,0.251,0.022,0.138
1997,0.342,0.029,0.174
1998,0.397,0.035,0.183
1999,0.537,0.049,0.228
2000,0.48,0.046,0.208
2001,0.388,0.038,0.171
2002,0.439,0.042,0.178
2003,0.424,0.04,0.171
2004,0.434,0.039,0.189
2005,0.396,0.04,0.172
2006,0.428,0.04,0.184
2007,0.489,0.042,0.204
2008,0.605,0.055,0.212
2009,0.509,0.048,0.169
2010,0.603,0.056,0.214
2011,0.587,0.057,0.219
2012,0.476,0.049,0.199
2013,0.391,0.041,0.169
2014,0.578,0.061,0.186
2015,0.776,0.075,0.221
2016,0.788,0.072,0.253
2017,0.741,0.081,0.306
2018,0.231,0.026,0.112
2019,0.239,0.026,0.109
2020,0.096,0.009,0.044
2021,0.242,0.023,0.11
2022,0.308,0.029,0.146
2023,0.26,0.025,0.127
2024,0.291,0.03,0.136
