Year,Scenario 1,Scenario 2,Scenario 3,Scenario 4,Scenario 5,Scenario 6,Scenario 7
Catch,-,-,-,-,-,-,-
2024,"23,171","23,171","23,171","23,171","23,171","23,171","23,171"
2025,"35,627","35,627","18,142","27,656",     0,"42,791","35,627"
2026,"31,346","31,346","19,341","27,139",     0,"34,090","31,347"
2027,"39,483","39,483","22,766","34,854",     0,"42,729","47,640"
2028,"59,022","59,022","28,614","51,156",     0,"64,258","65,599"
2029,"71,269","71,269","35,047","59,679",     0,"80,881","80,790"
2030,"76,888","76,888","40,345","65,998",     0,"85,100","84,996"
2031,"79,746","79,746","43,948","69,636",     0,"86,934","86,881"
2032,"80,960","80,960","46,122","71,428",     0,"87,576","87,554"
2033,"81,479","81,479","47,458","72,314",     0,"87,811","87,803"
2034,"81,682","81,682","48,203","72,714",     0,"87,890","87,886"
2035,"81,761","81,761","48,605","72,891",     0,"87,916","87,915"
2036,"81,789","81,789","48,806","72,962",     0,"87,924","87,924"
2037,"81,798","81,798","48,907","72,990",     0,"87,926","87,926"
F,-,-,-,-,-,-,-
2024,0.29,0.29,0.29,0.29,0.29,0.29,0.29
2025,0.48,0.48,0.23,0.36,0,0.6,0.48
2026,0.44,0.44,0.23,0.35,0,0.52,0.44
2027,0.49,0.49,0.23,0.4,0,0.57,0.61
2028,0.61,0.61,0.23,0.49,0,0.72,0.72
2029,0.65,0.65,0.23,0.49,0,0.8,0.8
2030,0.65,0.65,0.23,0.49,0,0.8,0.8
2031,0.65,0.65,0.23,0.49,0,0.8,0.8
2032,0.65,0.65,0.23,0.49,0,0.8,0.8
2033,0.65,0.65,0.23,0.49,0,0.8,0.8
2034,0.65,0.65,0.23,0.49,0,0.8,0.8
2035,0.65,0.65,0.23,0.49,0,0.8,0.8
2036,0.65,0.65,0.23,0.49,0,0.8,0.8
2037,0.65,0.65,0.23,0.49,0,0.8,0.8
SSB,-,-,-,-,-,-,-
2024,"51,290","51,290"," 51,290","51,290"," 51,290","51,290","51,290"
2025,"49,605","49,605"," 49,605","49,605"," 49,605","49,605","49,605"
2026,"45,603","45,603"," 51,948","48,474"," 58,695","43,056","45,603"
2027,"50,392","50,392"," 59,884","54,226"," 72,632","47,360","50,392"
2028,"61,886","61,886"," 75,133","66,460"," 93,546","58,443","59,202"
2029,"71,800","71,800"," 92,790","78,046","117,768","67,362","67,337"
2030,"78,219","78,219","108,012","87,236","140,746","71,435","71,349"
2031,"81,684","81,684","118,810","92,808","159,650","73,336","73,284"
2032,"83,228","83,228","125,582","95,676","173,720","74,039","74,016"
2033,"83,930","83,930","129,980","97,177","184,787","74,315","74,305"
2034,"84,212","84,212","132,496","97,875","192,352","74,408","74,405"
2035,"84,324","84,324","133,872","98,190","197,286","74,442","74,440"
2036,"84,363","84,363","134,562","98,316","200,300","74,450","74,450"
2037,"84,376","84,376","134,910","98,368","202,141","74,454","74,454"
