Species Group,2020,2021,2022,2023,2024
Benthic urochordata,-,-,0,0.01,0.05
Birds - Gull,-,7.73,36.27,44.92,-
Birds - Northern Fulmar,-,21.27,224.79,17.92,-
Birds - Short-tailed Albatross,-,-,-,2.04,-
Birds - Unidentified,-,9.33,-,404.15,-
Birds - Unidentified Albatross,-,-,11.04,-,-
Bivalves,-,0,0.63,0.01,0.22
Brittle star unidentified,-,-,0.02,0.01,0.01
Corals Bryozoans - Corals Bryozoans Unidentified,0.18,0.08,0.07,0.58,0.01
Eelpouts,-,-,0.02,0.08,0.05
Giant Grenadier,-,79.55,48.08,43.61,-
Greenlings,-,0.45,0.29,0.35,0.28
Grenadier - Rattail Grenadier Unidentified,-,0.12,0.07,0,0.04
Hermit crab unidentified,-,0.01,0.08,0.04,0.03
Invertebrate unidentified,0.11,0.01,0.75,1.85,0.02
Misc crabs,-,0.14,0.05,4.17,0.21
Misc crustaceans,-,-,0,0,0.04
Misc fish,7.71,33.35,34.69,23.38,99.79
Pacific Sand lance,-,-,-,0.08,-
Sculpin,-,119.66,175.62,123.35,49.15
Scypho jellies,0.02,0.19,0.03,0.07,0.52
Sea anemone unidentified,0,1.09,1.1,1.67,2.32
Sea pens whips,-,0.04,1.43,0.14,0.52
Sea star,1.66,18.44,22.45,30.36,50.11
Snails,0.06,0.27,2.19,3.62,0.52
Sponge unidentified,-,0.05,1.11,0.69,1.15
Squid,-,-,-,0.09,0.01
State-managed Rockfish,-,2.24,2.31,1.89,0.3
urchins dollars cucumbers,-,0.03,0.64,0.2,0.61
