Year,Previous Recruitment,Previous SD[Rec],Current Recruitment,Current SD[Rec]
1977,0.79,0.18,1.16,0.35
1978,0.4,0.11,0.39,0.14
1979,0.34,0.09,0.36,0.13
1980,0.42,0.11,0.64,0.21
1981,0.62,0.14,0.69,0.22
1982,0.63,0.15,0.93,0.3
1983,0.56,0.16,0.67,0.26
1984,0.54,0.15,0.89,0.29
1985,0.73,0.15,0.87,0.25
1986,0.52,0.11,0.61,0.17
1987,0.51,0.09,0.65,0.16
1988,0.55,0.09,0.65,0.16
1989,0.54,0.09,0.68,0.16
1990,0.7,0.11,0.77,0.17
1991,0.45,0.08,0.57,0.13
1992,0.41,0.07,0.42,0.1
1993,0.29,0.05,0.36,0.08
1994,0.33,0.05,0.42,0.09
1995,0.44,0.06,0.53,0.11
1996,0.29,0.04,0.4,0.08
1997,0.3,0.04,0.36,0.07
1998,0.24,0.03,0.34,0.07
1999,0.33,0.04,0.5,0.1
2000,0.38,0.05,0.49,0.1
2001,0.27,0.04,0.3,0.06
2002,0.18,0.03,0.26,0.05
2003,0.22,0.03,0.3,0.06
2004,0.26,0.03,0.29,0.06
2005,0.39,0.05,0.53,0.1
2006,0.58,0.07,0.73,0.13
2007,0.45,0.06,0.53,0.1
2008,0.57,0.07,0.78,0.15
2009,0.43,0.06,0.43,0.09
2010,0.42,0.06,0.51,0.11
2011,0.54,0.09,0.8,0.17
2012,1.05,0.17,1.16,0.27
2013,0.69,0.13,0.71,0.19
2014,0.27,0.06,0.24,0.07
2015,0.26,0.05,0.28,0.07
2016,0.26,0.04,0.27,0.06
2017,0.2,0.03,0.29,0.06
2018,0.16,0.02,0.21,0.04
2019,0.09,0.02,0.17,0.04
2020,0.15,0.03,0.19,0.04
2021,0.18,0.04,0.22,0.05
2022,0.24,0.06,0.21,0.07
2023,0.38,0.18,0.41,0.19
2024,-,-,0.48,0.24
Mean 1977 - (Final year - 2),0.42,,0.52,
