Label,Value,Parm_StDev
NatM_uniform_Fem_GP_1,0.493858,0.0227385
L_at_Amin_Fem_GP_1,17.4347,0.313644
L_at_Amax_Fem_GP_1,99.4609,0.014999
VonBert_K_Fem_GP_1,0.190488,0.00183234
SD_young_Fem_GP_1,4.01449,0.186732
SD_old_Fem_GP_1,8.99495,0.345152
Wtlen_1_Fem_GP_1,3.4297e-6,NA
Wtlen_2_Fem_GP_1,3.27469,NA
Mat50%_Fem_GP_1,53.7,NA
Mat_slope_Fem_GP_1,-0.273657,NA
Eggs/kg_inter_Fem_GP_1,1,NA
Eggs/kg_slope_wt_Fem_GP_1,0,NA
CohortGrowDev,1,NA
FracFemale_GP_1,0.5,NA
NatM_uniform_Fem_GP_1_BLK4repl_2014,0.819832,0.0527795
SR_LN(R0),13.0933,0.2127
SR_BH_steep,1,NA
SR_sigmaR,0.44,NA
SR_regime,0,NA
SR_autocorr,0,NA
SR_regime_BLK5add_1976,-0.676557,0.190099
Early_InitAge_10,-0.519716,0.367119
Early_InitAge_9,-0.354619,0.381622
Early_InitAge_8,-0.36847800000000003,0.377936
Early_InitAge_7,-0.305013,0.379816
Early_InitAge_6,-0.153774,0.386339
Early_InitAge_5,0.0591916,0.399355
Early_InitAge_4,0.657683,0.307075
Early_InitAge_3,-0.0687739,0.337352
Early_InitAge_2,-0.464413,0.326418
Early_InitAge_1,-0.0552426,0.356402
Early_RecrDev_1977,0.936249,0.183535
Main_RecrDev_1978,-0.163516,0.290735
Main_RecrDev_1979,-0.225359,0.265107
Main_RecrDev_1980,0.348096,0.233269
Main_RecrDev_1981,0.425658,0.22392
Main_RecrDev_1982,0.729632,0.211475
Main_RecrDev_1983,0.402456,0.315253
Main_RecrDev_1984,0.690341,0.249763
Main_RecrDev_1985,0.671837,0.205211
Main_RecrDev_1986,0.313956,0.193989
Main_RecrDev_1987,0.382088,0.149246
Main_RecrDev_1988,0.389268,0.141024
Main_RecrDev_1989,0.44216,0.135981
Main_RecrDev_1990,0.564694,0.125972
Main_RecrDev_1991,0.256065,0.139085
Main_RecrDev_1992,-0.0409044,0.147815
Main_RecrDev_1993,-0.205763,0.153506
Main_RecrDev_1994,-0.0503927,0.13502
Main_RecrDev_1995,0.193635,0.113073
Main_RecrDev_1996,-0.101406,0.12524
Main_RecrDev_1997,-0.198902,0.127223
Main_RecrDev_1998,-0.26024,0.1288
Main_RecrDev_1999,0.133801,0.108794
Main_RecrDev_2000,0.113818,0.110779
Main_RecrDev_2001,-0.396744,0.138529
Main_RecrDev_2002,-0.538458,0.135354
Main_RecrDev_2003,-0.379365,0.117811
Main_RecrDev_2004,-0.40482,0.117572
Main_RecrDev_2005,0.192787,0.10219
Main_RecrDev_2006,0.507955,0.0956452
Main_RecrDev_2007,0.188511,0.11128300000000001
Main_RecrDev_2008,0.576445,0.0961882
Main_RecrDev_2009,-0.0351343,0.129267
Main_RecrDev_2010,0.156141,0.120001
Main_RecrDev_2011,0.593977,0.121638
Main_RecrDev_2012,0.974706,0.125753
Main_RecrDev_2013,0.487261,0.147527
Main_RecrDev_2014,-0.618187,0.197371
Main_RecrDev_2015,-0.449584,0.153154
Main_RecrDev_2016,-0.477276,0.124497
Main_RecrDev_2017,-0.398608,0.102846
Main_RecrDev_2018,-0.73878,0.117208
Main_RecrDev_2019,-0.931973,0.134811
Main_RecrDev_2020,-0.854478,0.144765
Main_RecrDev_2021,-0.718449,0.180291
Main_RecrDev_2022,-0.764441,0.24219
Main_RecrDev_2023,-0.1456,0.410405
Main_RecrDev_2024,0,0.44
ForeRecr_2025,0,NA
ForeRecr_2026,0,NA
ForeRecr_2027,0,NA
ForeRecr_2028,0,NA
ForeRecr_2029,0,NA
ForeRecr_2030,0,NA
ForeRecr_2031,0,NA
ForeRecr_2032,0,NA
ForeRecr_2033,0,NA
ForeRecr_2034,0,NA
ForeRecr_2035,0,NA
ForeRecr_2036,0,NA
ForeRecr_2037,0,NA
ForeRecr_2038,0,NA
ForeRecr_2039,0,NA
