"","LAT_REL","LONG_REL","LAT_REC","LONG_REC","TAG_NUMBER","PROGRAM","RELDT","RECDT","DAL","INDEX","REC_YEAR","REL_AREA","REC_AREA","REL_MONTH","REC_MONTH","REL_YEAR","DISTANCE","SPEED","COUNT","REC_REGION","REL_REGION","BEARING","dir.binned"
"1",58.3405,-162.0433333,58.33333333,-163.25,2715,"RACE","6/18/1985","7/10/1985",22,222,1985,514,514,6,7,1985,70.6857688611389,3.21298949368813,1,"EBS","EBS",269.351756320978,"270"
"2",59.02016667,-164.01,58.41666667,-165.6333333,2690,"RACE","6/28/1985","8/2/1986",400,235,1986,514,514,6,8,1985,115.609614841456,0.289024037103639,1,"EBS","EBS",234.397487017238,"240"
"3",59.00733333,-165.3,58.1,-167.1666667,2513,"RACE","6/30/1985","9/14/1986",441,236,1986,514,514,6,9,1985,148.394485196937,0.336495431285571,1,"EBS","EBS",227.02286997956,"240"
"4",58.341,-165.3066667,58.1,-166.9333333,2529,"RACE","6/30/1985","8/24/1985",55,237,1985,514,514,6,8,1985,99.2917496379005,1.80530453887092,1,"EBS","EBS",254.287769283877,"240"
"5",59.00716667,-164.6533333,58.13333333,-165.1666667,5008,"RACE","6/15/1986","7/29/1986",44,252,1986,514,514,6,7,1986,101.813833841858,2.31395076913313,1,"EBS","EBS",197.030274559493,"210"
"6",58.34,-164.62,58.36666667,-165.2835,5024,"RACE","6/15/1986","7/25/1986",40,253,1986,514,514,6,7,1986,38.9606512071488,0.974016280178719,1,"EBS","EBS",274.380353656949,"270"
"7",58.00683333,-164.6083333,59.05,-163.9333333,5060,"RACE","6/15/1986","6/17/1987",367,256,1987,514,514,6,6,1986,122.667676587824,0.334244350375542,1,"EBS","EBS",18.6644011115359,"30"
"8",59.00566667,-165.2916667,58.21666667,-165.5166667,8423,"RACE","6/16/1986","8/3/1986",48,259,1986,514,514,6,8,1986,88.8529175313212,1.85110244856919,1,"EBS","EBS",188.447926328829,"180"
"9",57.50883333,-172.0033333,58.76666667,-169.0833333,4280,"RACE","9/10/1984","6/10/1986",638,171,1986,521,514,9,6,1984,221.805714128387,0.347657859135403,1,"EBS","EBS",50.7810505389352,"60"
"10",57.32833333,-165.8583333,58.46666667,-167.5833333,5118,"RACE","6/19/1986","10/15/1986",118,268,1986,513,514,6,10,1986,162.894788756737,1.38046431149777,1,"EBS","EBS",321.157498380087,"330"
"11",57.32833333,-165.8583333,58.21666667,-166.5333333,5120,"RACE","6/19/1986","8/30/1986",72,269,1986,513,514,6,8,1986,106.778506547964,1.48303481316616,1,"EBS","EBS",337.942697928719,"330"
"12",57.32833333,-165.8583333,58.88333333,-163.75,5125,"RACE","6/19/1986","6/24/1987",370,270,1987,513,514,6,6,1986,213.162833696101,0.576115766746219,1,"EBS","EBS",35.6112153374949,"30"
