ID,TagID,TAG_TYPE,TAG_NUM,CRUISE,VESSEL,HAUL,CAPTURE_TIME,REL_TIME_LOCAL,REL_TIME_UTC,REL_LATDD,REL_LONGDD,REL_REGION,REL_LENGTH
1,AR-1,miniPAT,178689,201901_PCT,86,22,2/19/2019,2/19/2019,2/20/2019,52.257,-173.57,AI,100
2,AR-2,miniPAT,178690,201901_PCT,86,25,2/20/2019,2/20/2019,2/21/2019,52.35483,-173.85817,AI,74
3,AR-3,miniPAT,178691,201901_PCT,418,5,3/1/2019,3/1/2019,3/1/2019,51.7071,-176.36323,AI,104
4,AR-4,miniPAT,178692,201901_PCT,86,21,2/18/2019,2/18/2019,2/19/2019,52.25333,-173.54133,AI,72
5,AR-5,miniPAT,178693,201901_PCT,86,22,2/19/2019,2/19/2019,2/20/2019,52.25633,-173.573,AI,71
6,AR-6,miniPAT,178694,201901_PCT,86,23,2/19/2019,2/20/2019,2/20/2019,52.25933,-173.62167,AI,86
7,AR-7,miniPAT,178695,201901_PCT,86,25,2/20/2019,2/20/2019,2/21/2019,52.357,-173.8565,AI,81
8,AR-8,miniPAT,178696,201901_PCT,418,3,2/22/2019,2/22/2019,2/23/2019,51.92383,-176.43017,AI,77
9,AR-9,miniPAT,178697,201901_PCT,418,2,2/22/2019,2/22/2019,2/23/2019,51.9225,-176.43017,AI,74
10,AR-10,miniPAT,178698,201901_PCT,418,1,2/22/2019,2/22/2019,2/22/2019,51.907,-176.43333,AI,73
11,AR-11,miniPAT,178699,201901_PCT,418,4,3/1/2019,3/1/2019,3/1/2019,51.71082,-176.35295,AI,83
12,AR-12,miniPAT,178700,201901_PCT,418,4,3/1/2019,3/1/2019,3/1/2019,51.7103,-176.35028,AI,102
13,AR-13,miniPAT,178701,201901_PCT,86,22,2/19/2019,2/19/2019,2/20/2019,52.2565,-173.572,AI,70
14,AR-14,miniPAT,178702,201901_PCT,86,25,2/20/2019,2/20/2019,2/21/2019,52.35617,-173.857,AI,82
15,AR-15,miniPAT,178703,201901_PCT,86,25,2/20/2019,2/20/2019,2/21/2019,52.3555,-173.85733,AI,98
16,AR-16,miniPAT,178704,201901_PCT,86,23,2/19/2019,2/19/2019,2/20/2019,52.2595,-173.53717,AI,73
17,AR-17,miniPAT,178705,201901_PCT,86,21,2/18/2019,2/18/2019,2/19/2019,52.25367,-173.543,AI,95
18,AR-18,miniPAT,178706,201901_PCT,418,5,3/1/2019,3/1/2019,3/1/2019,51.70765,-176.35975,AI,89
19,AR-20,miniPAT,178707,201901_PCT,418,4,3/1/2019,3/1/2019,3/1/2019,51.70852,-176.35417,AI,96
20,AR-19,miniPAT,178708,201901_PCT,418,3,2/22/2019,2/22/2019,2/23/2019,51.92333,-176.43183,AI,79
21,AR-21,miniPAT,178709,201901_PCT,418,2,2/22/2019,2/22/2019,2/23/2019,51.9235,-176.42733,AI,88
22,MR-1,mrPAT,177956,201901_PCT,86,21,2/18/2019,2/18/2019,2/19/2019,52.2535,-173.542,AI,73
23,MR-2,mrPAT,177957,201901_PCT,86,25,2/20/2019,2/20/2019,2/21/2019,52.35583,-173.85717,AI,85
